,sex,subprovince,region,sample_population,enrolled_total,rate_enrollment
355,female,Layyah,urban,56,46.0,0.8214285714285714
356,female,Lodhran,rural,59,49.0,0.8305084745762712
357,female,Lodhran,urban,51,18.0,0.35294117647058826
358,female,Loralai,rural,46,25.0,0.5434782608695652
359,female,Loralai,urban,266,58.0,0.21804511278195488
360,female,Lower Dir,rural,101,83.0,0.8217821782178217
361,female,Lower Dir,urban,0,,
362,female,Malakand,rural,101,83.0,0.8217821782178217
363,female,Malakand,urban,54,39.0,0.7222222222222222
364,female,Mandi Bahuddin,rural,103,98.0,0.9514563106796117
365,female,Mandi Bahuddin,urban,30,27.0,0.9
366,female,Manshera,rural,58,54.0,0.9310344827586207
367,female,Manshera,urban,186,37.0,0.1989247311827957
368,female,Mardan,rural,90,70.0,0.7777777777777778
369,female,Mardan,urban,36,10.0,0.2777777777777778
370,female,Mastung,rural,17,12.0,0.7058823529411765
371,female,Mastung,urban,59,21.0,0.3559322033898305
372,female,Matiari,rural,42,32.0,0.7619047619047619
373,female,Matiari,urban,44,16.0,0.36363636363636365
374,female,Mianwali,rural,52,42.0,0.8076923076923077
375,female,Mianwali,urban,30,18.0,0.6
376,female,Mir Pur Khas,rural,28,21.0,0.75
377,female,Mir Pur Khas,urban,107,45.0,0.4205607476635514
378,female,Multan,rural,130,116.0,0.8923076923076924
379,female,Multan,urban,85,58.0,0.6823529411764706
380,female,Musa Khel,rural,46,25.0,0.5434782608695652
381,female,Musa Khel,urban,266,58.0,0.21804511278195488
382,female,Muzaffar Garh,rural,78,76.0,0.9743589743589743
383,female,Muzaffar Garh,urban,88,41.0,0.4659090909090909
384,female,Nankana Sahib,rural,73,66.0,0.9041095890410958
385,female,Nankana Sahib,urban,25,24.0,0.96
386,female,Narowal,rural,103,98.0,0.9514563106796117
387,female,Narowal,urban,64,60.0,0.9375
388,female,Nasirabad/ Tamboo,rural,47,19.0,0.40425531914893614
389,female,Nasirabad/ Tamboo,urban,254,43.0,0.16929133858267717
390,female,Nawabshah,rural,42,26.0,0.6190476190476191
391,female,Nawabshah,urban,116,36.0,0.3103448275862069
392,female,Nowsehra,rural,85,67.0,0.788235294117647
393,female,Nowsehra,urban,83,35.0,0.42168674698795183
394,female,Nowshero Feroze,rural,42,26.0,0.6190476190476191
395,female,Nowshero Feroze,urban,104,53.0,0.5096153846153846
396,female,Nushki,rural,41,19.0,0.4634146341463415
397,female,Nushki,urban,380,195.0,0.5131578947368421
398,female,Okara,rural,63,51.0,0.8095238095238095
399,female,Okara,urban,66,53.0,0.803030303030303
400,female,Pakpatten,rural,63,51.0,0.8095238095238095
401,female,Pakpatten,urban,51,32.0,0.6274509803921569
402,female,Pershawar,rural,0,,
403,female,Pershawar,urban,61,46.0,0.7540983606557377
404,female,Peshawar,rural,347,269.0,0.7752161383285303
405,female,Peshawar,urban,0,,
406,female,Pishine,rural,41,19.0,0.4634146341463415
407,female,Pishine,urban,380,195.0,0.5131578947368421
408,female,Qilla Abdullah,rural,41,19.0,0.4634146341463415
409,female,Qilla Abdullah,urban,380,195.0,0.5131578947368421
410,female,Qilla Saifullah,rural,46,25.0,0.5434782608695652
411,female,Qilla Saifullah,urban,266,58.0,0.21804511278195488
412,female,Quetta,rural,174,107.0,0.6149425287356322
413,female,Quetta,urban,380,195.0,0.5131578947368421
414,female,Rahim Yar Khan,rural,89,74.0,0.8314606741573034
415,female,Rahim Yar Khan,urban,131,49.0,0.37404580152671757
416,female,Rajanpur,rural,78,76.0,0.9743589743589743
417,female,Rajanpur,urban,56,20.0,0.35714285714285715
418,female,Rawalpindi,rural,115,103.0,0.8956521739130435
419,female,Rawalpindi,urban,65,61.0,0.9384615384615385
420,female,Sahiwal,rural,63,51.0,0.8095238095238095
421,female,Sahiwal,urban,58,43.0,0.7413793103448276
