,sex,subprovince,region,sample_population,enrolled_total,rate_enrollment
0,male,Abbottabad,rural,46,43,0.9347826086956522
1,male,Abbottabad,urban,216,195,0.9027777777777778
2,male,Attock,rural,21,18,0.8571428571428571
3,male,Attock,urban,170,147,0.8647058823529412
4,male,Awaran,rural,35,12,0.34285714285714286
5,male,Awaran,urban,168,97,0.5773809523809523
6,male,Badin,rural,80,33,0.4125
7,male,Badin,urban,170,99,0.5823529411764706
8,male,Bahawalnagar,rural,68,55,0.8088235294117647
9,male,Bahawalnagar,urban,283,232,0.8197879858657244
10,male,Bahawalpur,rural,94,57,0.6063829787234043
11,male,Bahawalpur,urban,283,232,0.8197879858657244
12,male,Bannu,rural,81,43,0.5308641975308642
13,male,Bannu,urban,73,51,0.6986301369863014
14,male,Barkhan,rural,224,101,0.45089285714285715
15,male,Barkhan,urban,279,186,0.6666666666666666
16,male,Batagram,rural,47,30,0.6382978723404256
17,male,Batagram,urban,216,195,0.9027777777777778
18,male,Bhakhar,rural,54,36,0.6666666666666666
19,male,Bhakhar,urban,127,103,0.8110236220472441
20,male,Bolan/ Kachhi,rural,144,61,0.4236111111111111
21,male,Bolan/ Kachhi,urban,258,151,0.5852713178294574
22,male,Bonair,rural,52,38,0.7307692307692307
23,male,Bonair,urban,324,232,0.7160493827160493
24,male,Chaghai,rural,221,120,0.5429864253393665
25,male,Chaghai,urban,185,107,0.5783783783783784
26,male,Chakwal,rural,30,24,0.8
27,male,Chakwal,urban,170,147,0.8647058823529412
28,male,Charsada,rural,52,41,0.7884615384615384
29,male,Charsada,urban,330,267,0.8090909090909091
30,male,Chiniot,rural,24,13,0.5416666666666666
31,male,Chiniot,urban,197,171,0.868020304568528
32,male,Chitral,rural,29,23,0.7931034482758621
33,male,Chitral,urban,324,232,0.7160493827160493
34,male,D. G. Khan,rural,105,63,0.6
35,male,D. G. Khan,urban,187,152,0.8128342245989305
36,male,D. I. Khan,rural,118,62,0.5254237288135594
37,male,D. I. Khan,urban,123,91,0.7398373983739838
38,male,Dadu,rural,95,40,0.42105263157894735
39,male,Dadu,urban,170,99,0.5823529411764706
40,male,Dera Bugti,rural,81,38,0.4691358024691358
41,male,Dera Bugti,urban,132,84,0.6363636363636364
42,male,Faisalabad,rural,80,55,0.6875
43,male,Faisalabad,urban,197,171,0.868020304568528
44,male,Ghotki,rural,128,76,0.59375
45,male,Ghotki,urban,206,155,0.7524271844660194
46,male,Gujranwala,rural,48,37,0.7708333333333334
47,male,Gujranwala,urban,297,260,0.8754208754208754
48,male,Gujrat,rural,50,43,0.86
49,male,Gujrat,urban,297,260,0.8754208754208754
50,male,Hafizabad,rural,28,20,0.7142857142857143
51,male,Hafizabad,urban,297,260,0.8754208754208754
52,male,Hangu,rural,36,25,0.6944444444444444
