,sex,subprovince,region,sample_population,enrolled_total,rate_enrollment
0,male,Abbotabad,urban,0,0,
1,male,Abbotabad,rural,35,33,0.9428571428571428
2,male,Attock,urban,0,0,
3,male,Attock,rural,44,43,0.9772727272727273
4,male,Awaran,urban,0,0,
5,male,Awaran,rural,28,17,0.6071428571428571
6,male,Badin,urban,0,0,
7,male,Badin,rural,117,61,0.5213675213675214
8,male,Bahawalnager,urban,0,0,
9,male,Bahawalnager,rural,38,28,0.7368421052631579
10,male,Bahawalpur,urban,21,20,0.9523809523809523
11,male,Bahawalpur,rural,71,40,0.5633802816901409
12,male,Bannu,urban,23,17,0.7391304347826086
13,male,Bannu,rural,103,86,0.8349514563106796
14,male,Barkhan,urban,0,0,
15,male,Barkhan,rural,32,19,0.59375
16,male,Batagram,urban,0,0,
17,male,Batagram,rural,45,20,0.4444444444444444
18,male,Bhakar,urban,0,0,
19,male,Bhakar,rural,46,26,0.5652173913043478
20,male,Bolan/kachhi,urban,0,0,
21,male,Bolan/kachhi,rural,39,17,0.4358974358974359
22,male,Bonair,urban,0,0,
23,male,Bonair,rural,76,52,0.6842105263157895
24,male,Chakwal,urban,0,0,
25,male,Chakwal,rural,23,18,0.782608695652174
26,male,Charsada,urban,0,0,
27,male,Charsada,rural,117,76,0.6495726495726496
28,male,Chitral,urban,0,0,
29,male,Chitral,rural,29,20,0.6896551724137931
30,male,D.G.Khan,urban,15,10,0.6666666666666666
31,male,D.G.Khan,rural,53,34,0.6415094339622641
32,male,D.I.Khan,urban,13,8,0.6153846153846154
33,male,D.I.Khan,rural,95,51,0.5368421052631579
34,male,Dadu,urban,0,0,
35,male,Dadu,rural,154,84,0.5454545454545454
36,male,Deara Bughti,urban,0,0,
37,male,Deara Bughti,rural,23,0,0.0
38,male,Faisalabad,urban,45,40,0.8888888888888888
39,male,Faisalabad,rural,118,97,0.8220338983050848
40,male,Ghotki,urban,0,0,
41,male,Ghotki,rural,51,27,0.5294117647058824
42,male,Gujranwala,urban,37,33,0.8918918918918919
43,male,Gujranwala,rural,82,69,0.8414634146341463
44,male,Gujrat,urban,0,0,
45,male,Gujrat,rural,37,34,0.918918918918919
46,male,Gwadar,urban,0,0,
47,male,Gwadar,rural,44,12,0.2727272727272727
48,male,Haifzabad,urban,0,0,
49,male,Haifzabad,rural,65,53,0.8153846153846154
50,male,Hangu,urban,0,0,
51,male,Hangu,rural,81,55,0.6790123456790124
52,male,Haripur,urban,0,0,
53,male,Haripur,rural,36,32,0.8888888888888888
54,male,Hyderabad,urban,54,32,0.5925925925925926
55,male,Hyderabad,rural,85,51,0.6
56,male,Islamabad,urban,8,7,0.875
57,male,Islamabad,rural,65,57,0.8769230769230769
58,male,Jaccobabad,urban,0,0,
59,male,Jaccobabad,rural,121,27,0.2231404958677686
60,male,Jafarabad,urban,0,0,
61,male,Jafarabad,rural,68,29,0.4264705882352941
62,male,Jhal Magsi,urban,0,0,
63,male,Jhal Magsi,rural,49,12,0.24489795918367346
64,male,Jhang,urban,0,0,
65,male,Jhang,rural,91,60,0.6593406593406593
66,male,Jhelum,urban,0,0,
67,male,Jhelum,rural,38,32,0.8421052631578947
68,male,Kalat,urban,36,20,0.5555555555555556
69,male,Kalat,rural,125,62,0.496
70,male,Karachi,urban,11,9,0.8181818181818182
71,male,Karachi,rural,51,30,0.5882352941176471
72,male,Karak,urban,0,0,
73,male,Karak,rural,48,40,0.8333333333333334
74,male,Kasur,urban,0,0,
75,male,Kasur,rural,78,56,0.717948717948718
76,male,Ketch/Turbat,urban,0,0,
77,male,Ketch/Turbat,rural,99,75,0.7575757575757576
78,male,Khairpur,urban,0,0,
79,male,Khairpur,rural,105,60,0.5714285714285714
80,male,Khanewal,urban,0,0,
81,male,Khanewal,rural,36,20,0.5555555555555556
82,male,Kharan,urban,0,0,
83,male,Kharan,rural,17,4,0.23529411764705882
84,male,Khushab,urban,0,0,
85,male,Khushab,rural,44,33,0.75
86,male,Khuzdar,urban,0,0,
87,male,Khuzdar,rural,61,38,0.6229508196721312
88,male,Kohat,urban,59,39,0.6610169491525424
89,male,Kohat,rural,58,48,0.8275862068965517
90,male,Kohistan,urban,0,0,
91,male,Kohistan,rural,54,21,0.3888888888888889
92,male,Lahore,urban,209,180,0.861244019138756
93,male,Lahore,rural,108,88,0.8148148148148148
94,male,LakkiMarwat,urban,0,0,
95,male,LakkiMarwat,rural,74,55,0.7432432432432432
96,male,Larkana,urban,55,41,0.7454545454545455
97,male,Larkana,rural,178,100,0.5617977528089888
98,male,Lasbilla,urban,0,0,
99,male,Lasbilla,rural,57,22,0.38596491228070173
100,male,Layya,urban,0,0,
101,male,Layya,rural,54,38,0.7037037037037037
102,male,Lodhran,urban,0,0,
103,male,Lodhran,rural,50,25,0.5
104,male,Loralai,urban,0,0,
105,male,Loralai,rural,38,28,0.7368421052631579
106,male,LowerDir,urban,0,0,
107,male,LowerDir,rural,88,67,0.7613636363636364
108,male,Makran,urban,27,17,0.6296296296296297
109,male,Makran,rural,50,24,0.48
110,male,Malakand,urban,31,27,0.8709677419354839
111,male,Malakand,rural,58,49,0.8448275862068966
112,male,Mandi Bahuddin,urban,0,0,
113,male,Mandi Bahuddin,rural,69,59,0.855072463768116
114,male,Manshera,urban,0,0,
115,male,Manshera,rural,83,53,0.6385542168674698
116,male,Mardan,urban,0,0,
117,male,Mardan,rural,128,103,0.8046875
118,male,Mastung,urban,0,0,
119,male,Mastung,rural,57,27,0.47368421052631576
120,male,Mianwali,urban,0,0,
121,male,Mianwali,rural,28,25,0.8928571428571429
122,male,Mir Pur Khas,urban,17,13,0.7647058823529411
123,male,Mir Pur Khas,rural,91,36,0.3956043956043956
124,male,Multan,urban,92,73,0.7934782608695652
125,male,Multan,rural,95,47,0.49473684210526314
126,male,Muraffar Garh,urban,0,0,
127,male,Muraffar Garh,rural,122,59,0.48360655737704916
128,male,Musa,urban,0,0,
129,male,Musa,rural,32,12,0.375
130,male,Narowal,urban,0,0,
131,male,Narowal,rural,30,27,0.9
132,male,Nasirabad,urban,5,3,0.6
133,male,Nasirabad,rural,78,44,0.5641025641025641
134,male,Nawabshah,urban,0,0,
135,male,Nawabshah,rural,102,47,0.46078431372549017
136,male,Nowshera,urban,0,0,
137,male,Nowshera,rural,61,51,0.8360655737704918
138,male,Nowshero Freoze,urban,0,0,
139,male,Nowshero Freoze,rural,117,76,0.6495726495726496
140,male,Okara,urban,0,0,
141,male,Okara,rural,80,58,0.725
142,male,Pakpatten,urban,0,0,
143,male,Pakpatten,rural,69,51,0.7391304347826086
144,male,Panjgur,urban,0,0,
145,male,Panjgur,rural,24,5,0.20833333333333334
146,male,Peshawar,urban,217,166,0.7649769585253456
147,male,Peshawar,rural,124,90,0.7258064516129032
148,male,Qillah Saifullah,urban,0,0,
149,male,Qillah Saifullah,rural,60,26,0.43333333333333335
150,male,Quetta,urban,130,96,0.7384615384615385
