,sex,subprovince,region,sample_population,enrolled_total,rate_enrollment
0,female,Abbottabad,rural,371,318,0.8571428571428571
1,female,Abbottabad,urban,48,43,0.8958333333333334
2,female,Attock,rural,449,366,0.8151447661469933
3,female,Attock,urban,144,112,0.7777777777777778
4,female,Awaran,rural,153,47,0.30718954248366015
5,female,Awaran,urban,24,15,0.625
6,female,Badin,rural,606,102,0.16831683168316833
7,female,Badin,urban,164,63,0.38414634146341464
8,female,Bahawalnagar,rural,1163,749,0.6440240756663801
9,female,Bahawalnagar,urban,271,213,0.7859778597785978
10,female,Bahawalpur,rural,1522,953,0.626149802890933
11,female,Bahawalpur,urban,333,272,0.8168168168168168
12,female,Bajur,rural,1011,196,0.19386745796241345
13,female,Bannu,rural,486,222,0.4567901234567901
14,female,Bannu,urban,22,14,0.6363636363636364
15,female,Barkhan,rural,359,51,0.14206128133704735
16,female,Barkhan,urban,19,9,0.47368421052631576
17,female,Batagram,rural,394,176,0.4467005076142132
18,female,Bhakhar,rural,709,493,0.6953455571227081
19,female,Bhakhar,urban,90,66,0.7333333333333333
20,female,Bunair,rural,597,273,0.457286432160804
21,female,Chakwal,rural,437,356,0.8146453089244852
22,female,Chakwal,urban,68,59,0.8676470588235294
23,female,Charsada,rural,874,569,0.6510297482837528
24,female,Charsada,urban,119,91,0.7647058823529411
25,female,Chiniot,rural,526,366,0.6958174904942965
26,female,Chiniot,urban,161,111,0.6894409937888198
27,female,Chitral,rural,270,137,0.5074074074074074
28,female,Chitral,urban,19,8,0.42105263157894735
29,female,D. G. Khan,rural,864,397,0.45949074074074076
30,female,D. G. Khan,urban,186,151,0.8118279569892473
31,female,D. I. Khan,rural,424,146,0.3443396226415094
32,female,D. I. Khan,urban,104,62,0.5961538461538461
33,female,Dadu,rural,347,142,0.4092219020172911
34,female,Dadu,urban,163,98,0.6012269938650306
35,female,Dera Bugti,rural,348,34,0.09770114942528736
36,female,Dera Bugti,urban,73,32,0.4383561643835616
37,female,Duki,rural,123,6,0.04878048780487805
38,female,Duki,urban,11,1,0.09090909090909091
39,female,Faisalabad,rural,1294,922,0.7125193199381762
40,female,Faisalabad,urban,941,758,0.8055260361317748
41,female,Ghotki,rural,729,178,0.24417009602194786
42,female,Ghotki,urban,114,63,0.5526315789473685
43,female,Gujranwala,rural,774,644,0.8320413436692506
44,female,Gujranwala,urban,697,575,0.8249641319942611
45,female,Gujrat,rural,674,567,0.841246290801187
46,female,Gujrat,urban,210,164,0.780952380952381
47,female,Gwadar,rural,170,77,0.45294117647058824
48,female,Gwadar,urban,58,42,0.7241379310344828
49,female,Hafizabad,rural,458,363,0.7925764192139738
50,female,Hafizabad,urban,140,112,0.8
51,female,Hangu,rural,447,160,0.3579418344519016
52,female,Hangu,urban,105,61,0.580952380952381
53,female,Haripur,rural,442,364,0.8235294117647058
54,female,Haripur,urban,37,33,0.8918918918918919
55,female,Harnai,rural,236,44,0.1864406779661017
56,female,Harnai,urban,41,18,0.43902439024390244
57,female,Hyderabad,rural,140,64,0.45714285714285713
58,female,Hyderabad,urban,650,409,0.6292307692307693
59,female,Islamabad,rural,285,229,0.8035087719298246
60,female,Islamabad,urban,218,191,0.8761467889908257
61,female,Jacobabad,rural,465,91,0.1956989247311828
62,female,Jacobabad,urban,134,75,0.5597014925373134
63,female,Jaffarabad,rural,262,58,0.22137404580152673
64,female,Jaffarabad,urban,110,44,0.4
65,female,Jamshoro,rural,223,78,0.34977578475336324
66,female,Jamshoro,urban,108,56,0.5185185185185185
67,female,Jehlum,rural,406,352,0.8669950738916257
68,female,Jehlum,urban,86,75,0.872093023255814
69,female,Jhang,rural,981,696,0.709480122324159
70,female,Jhang,urban,210,182,0.8666666666666667
71,female,Kachhi/ Bolan,rural,283,68,0.24028268551236748
72,female,Kachhi/ Bolan,urban,19,11,0.5789473684210527
73,female,Kalat,rural,278,114,0.41007194244604317
74,female,Karachi Central,urban,791,585,0.7395701643489254
75,female,Karachi East,urban,709,491,0.692524682651622
76,female,Karachi Malir,rural,231,114,0.4935064935064935
77,female,Karachi Malir,urban,192,91,0.4739583333333333
78,female,Karachi South,urban,557,403,0.7235188509874326
79,female,Karachi West,rural,34,20,0.5882352941176471
80,female,Karachi West,urban,719,471,0.655076495132128
81,female,Karak,rural,216,122,0.5648148148148148
82,female,Karak,urban,15,11,0.7333333333333333
83,female,Kashmore,rural,317,49,0.15457413249211358
84,female,Kashmore,urban,138,60,0.43478260869565216
85,female,Kasur,rural,980,728,0.7428571428571429
86,female,Kasur,urban,213,177,0.8309859154929577
87,female,Kech/Turbat,rural,284,131,0.4612676056338028
88,female,Kech/Turbat,urban,66,37,0.5606060606060606
89,female,Khairpur,rural,945,361,0.382010582010582
90,female,Khairpur,urban,409,195,0.4767726161369193
91,female,Khanewal,rural,950,610,0.6421052631578947
92,female,Khanewal,urban,201,156,0.7761194029850746
93,female,Kharan,rural,405,213,0.5259259259259259
94,female,Kharan,urban,57,45,0.7894736842105263
95,female,Khushab,rural,504,373,0.7400793650793651
96,female,Khushab,urban,135,105,0.7777777777777778
97,female,Khuzdar,rural,615,135,0.21951219512195122
98,female,Khyber,rural,716,290,0.40502793296089384
99,female,Khyber,urban,30,18,0.6
100,female,Kohat,rural,427,199,0.46604215456674475
101,female,Kohat,urban,89,67,0.7528089887640449
102,female,Kohistan,rural,842,73,0.08669833729216152
103,female,Kohlu,rural,25,8,0.32
104,female,Kohlu,urban,7,5,0.7142857142857143
105,female,Korangi,urban,422,262,0.6208530805687204
106,female,Kurram,rural,565,224,0.39646017699115044
107,female,Lahore,urban,2326,1837,0.789767841788478
108,female,Lakki Marwat,rural,316,108,0.34177215189873417
109,female,Lakki Marwat,urban,25,15,0.6
110,female,Larkana,rural,385,114,0.2961038961038961
111,female,Larkana,urban,287,107,0.37282229965156793
112,female,Lasbela,rural,47,20,0.425531914893617
113,female,Lasbela,urban,62,20,0.3225806451612903
114,female,Layyah,rural,369,302,0.8184281842818428
115,female,Layyah,urban,37,28,0.7567567567567568
116,female,Lodhran,rural,602,279,0.4634551495016611
117,female,Lodhran,urban,106,76,0.7169811320754716
118,female,Loralai,rural,275,90,0.32727272727272727
119,female,Loralai,urban,55,34,0.6181818181818182
120,female,Lower Dir,rural,1132,641,0.5662544169611308
121,female,Lower Dir,urban,25,18,0.72
122,female,Malakand,rural,294,197,0.6700680272108843
123,female,Malakand,urban,28,16,0.5714285714285714
124,female,Mandi Bahauddin,rural,422,326,0.7725118483412322
125,female,Mandi Bahauddin,urban,94,76,0.8085106382978723
126,female,Mansehra,rural,581,401,0.6901893287435457
127,female,Mansehra,urban,35,26,0.7428571428571429
128,female,Mardan,rural,899,647,0.7196885428253615
129,female,Mardan,urban,174,115,0.6609195402298851
130,female,Mastung,rural,240,118,0.49166666666666664
131,female,Mastung,urban,23,18,0.782608695652174
132,female,Matiari,rural,264,107,0.4053030303030303
133,female,Matiari,urban,84,41,0.4880952380952381
134,female,Mianwali,rural,450,290,0.6444444444444445
135,female,Mianwali,urban,84,69,0.8214285714285714
136,female,Mir Pur Khas,rural,634,128,0.20189274447949526
137,female,Mir Pur Khas,urban,219,130,0.593607305936073
138,female,Mohmand,rural,524,99,0.18893129770992367
139,female,Multan,rural,1171,664,0.5670367207514945
140,female,Multan,urban,674,497,0.7373887240356083
141,female,Muzaffar Garh,rural,1758,880,0.5005688282138794
142,female,Muzaffar Garh,urban,297,200,0.6734006734006734
143,female,Nankana Sahib,rural,440,330,0.75
144,female,Nankana Sahib,urban,40,28,0.7
145,female,Narowal,rural,882,793,0.8990929705215419
146,female,Narowal,urban,80,69,0.8625
147,female,Nasirabad/ Tamboo,rural,276,33,0.11956521739130435
148,female,Nasirabad/ Tamboo,urban,76,27,0.35526315789473684
149,female,North Waziristan,rural,371,81,0.2183288409703504
150,female,Nowshera,rural,670,426,0.6358208955223881
151,female,Nowshera,urban,139,92,0.6618705035971223
152,female,Nowshero Feroze,rural,494,237,0.4797570850202429
153,female,Nowshero Feroze,urban,97,59,0.6082474226804123
154,female,Nushki,rural,289,165,0.5709342560553633
155,female,Nushki,urban,56,43,0.7678571428571429
156,female,Okara,rural,681,498,0.7312775330396476
157,female,Okara,urban,95,76,0.8
158,female,Orakzai,rural,320,109,0.340625
159,female,Pakpattan,rural,749,491,0.6555407209612817
160,female,Pakpattan,urban,109,82,0.7522935779816514
161,female,Peshawar,rural,1188,615,0.5176767676767676
162,female,Peshawar,urban,755,526,0.6966887417218544
163,female,Pishin,rural,445,241,0.5415730337078651
164,female,Pishin,urban,72,50,0.6944444444444444
165,female,Qilla Abdullah,rural,331,87,0.2628398791540785
166,female,Qilla Abdullah,urban,166,67,0.4036144578313253
167,female,Qilla Saifullah,rural,536,124,0.23134328358208955
168,female,Quetta,rural,464,233,0.5021551724137931
169,female,Quetta,urban,443,230,0.5191873589164786
170,female,Rahim Yar Khan,rural,1239,614,0.49556093623890235
171,female,Rahim Yar Khan,urban,304,219,0.7203947368421053
172,female,Rajanpur,rural,821,320,0.38976857490864797
173,female,Rajanpur,urban,110,88,0.8
174,female,Rawalpindi,rural,880,748,0.85
