,sex,subprovince,region,sample_population,enrolled_total,rate_enrollment
0,male,Abbottabad,rural,177,155,0.8757062146892656
1,male,Abbottabad,urban,0,0,
2,male,Attock,rural,211,174,0.8246445497630331
3,male,Attock,urban,0,0,
4,male,Awaran,rural,175,97,0.5542857142857143
5,male,Awaran,urban,0,0,
6,male,Badin,rural,587,288,0.4906303236797274
7,male,Badin,urban,0,0,
8,male,Bahawalnager,rural,494,355,0.7186234817813765
9,male,Bahawalnager,urban,0,0,
10,male,Bahawalpur,rural,511,300,0.5870841487279843
11,male,Bahawalpur,urban,0,0,
12,male,Bannu,rural,358,244,0.6815642458100558
13,male,Bannu,urban,0,0,
14,male,Barkhan,rural,314,212,0.6751592356687898
15,male,Barkhan,urban,0,0,
16,male,Batagram,rural,420,257,0.611904761904762
17,male,Batagram,urban,0,0,
18,male,Bhakhar,rural,329,211,0.6413373860182371
19,male,Bhakhar,urban,0,0,
20,male,Bhawalpur,rural,0,0,
21,male,Bhawalpur,urban,292,205,0.702054794520548
22,male,Bolan/kachhi,rural,270,104,0.3851851851851852
23,male,Bolan/kachhi,urban,0,0,
24,male,Bonair,rural,617,415,0.6726094003241491
25,male,Bonair,urban,0,0,
26,male,Chaghi,rural,328,164,0.5
27,male,Chaghi,urban,0,0,
28,male,Chakwal,rural,192,152,0.7916666666666666
29,male,Chakwal,urban,0,0,
30,male,Charsada,rural,316,197,0.6234177215189873
31,male,Charsada,urban,0,0,
32,male,Chitral,rural,341,222,0.6510263929618768
33,male,Chitral,urban,0,0,
34,male,D.G. Khan,rural,532,332,0.6240601503759399
35,male,D.G. Khan,urban,0,0,
36,male,D.I.Khan,rural,373,206,0.5522788203753352
37,male,D.I.Khan,urban,0,0,
38,male,Dadu,rural,832,399,0.4795673076923077
39,male,Dadu,urban,0,0,
40,male,Deara Bughti,rural,357,128,0.3585434173669468
41,male,Deara Bughti,urban,0,0,
42,male,Faisalabad,rural,674,534,0.7922848664688428
43,male,Faisalabad,urban,677,578,0.8537666174298375
44,male,Ghotki,rural,652,395,0.6058282208588958
45,male,Ghotki,urban,0,0,
46,male,Gujranwala,rural,413,337,0.8159806295399515
47,male,Gujranwala,urban,417,334,0.8009592326139089
48,male,Gujrat,rural,288,239,0.8298611111111112
49,male,Gujrat,urban,0,0,
50,male,Gwadar,rural,238,110,0.46218487394957986
51,male,Gwadar,urban,0,0,
52,male,Hafizabad,rural,265,220,0.8301886792452831
53,male,Hafizabad,urban,0,0,
54,male,Hangu,rural,445,317,0.7123595505617978
55,male,Hangu,urban,0,0,
56,male,Haripur,rural,196,163,0.8316326530612245
57,male,Haripur,urban,0,0,
58,male,Hyderabad,rural,848,448,0.5283018867924528
59,male,Hyderabad,urban,477,320,0.6708595387840671
60,male,Islamabad,rural,152,138,0.9078947368421053
61,male,Islamabad,urban,130,112,0.8615384615384616
62,male,Jaccobabad,rural,792,300,0.3787878787878788
63,male,Jaccobabad,urban,0,0,
64,male,Jafarabad,rural,376,179,0.47606382978723405
65,male,Jafarabad,urban,0,0,
66,male,Jehlum,rural,158,133,0.8417721518987342
67,male,Jehlum,urban,0,0,
68,male,JhalMagsi,rural,379,176,0.46437994722955145
69,male,JhalMagsi,urban,0,0,
70,male,Jhang,rural,599,323,0.5392320534223706
71,male,Jhang,urban,0,0,
72,male,Kalat,rural,258,154,0.5968992248062015
73,male,Kalat,urban,0,0,
74,male,Karachi,rural,321,201,0.6261682242990654
75,male,Karachi,urban,2075,1637,0.7889156626506024
76,male,Karak,rural,411,316,0.7688564476885644
77,male,Karak,urban,0,0,
78,male,Kasur,rural,482,373,0.7738589211618258
79,male,Kasur,urban,0,0,
80,male,Ketch/Turbat,rural,353,236,0.6685552407932012
81,male,Ketch/Turbat,urban,0,0,
82,male,Khairpur,rural,681,401,0.5888399412628488
83,male,Khairpur,urban,0,0,
84,male,Khanewal,rural,455,336,0.7384615384615385
85,male,Khanewal,urban,0,0,
86,male,Kharan,rural,268,159,0.5932835820895522
