,sex,subprovince,region,sample_population,enrolled_total,rate_enrollment
0,female,Abbottabad,rural,118,98,0.8305084745762712
1,female,Abbottabad,urban,0,0,
2,female,Attock ,rural,97,84,0.865979381443299
3,female,Attock ,urban,0,0,
4,female,Badin ,rural,156,58,0.3717948717948718
5,female,Badin ,urban,0,0,
6,female,Bahawalnagar,rural,115,54,0.46956521739130436
7,female,Bahawalnagar,urban,0,0,
8,female,Bahawalpur,rural,125,57,0.456
9,female,Bahawalpur,urban,236,181,0.7669491525423728
10,female,Bannu,rural,0,0,
11,female,Bannu,urban,149,110,0.738255033557047
12,female,Bannu ,rural,153,54,0.35294117647058826
13,female,Bannu ,urban,0,0,
14,female,Batagram ,rural,89,25,0.2808988764044944
15,female,Batagram ,urban,0,0,
16,female,Bhakhar ,rural,133,66,0.49624060150375937
17,female,Bhakhar ,urban,0,0,
18,female,Bonair ,rural,79,49,0.620253164556962
19,female,Bonair ,urban,0,0,
20,female,Chakwal ,rural,47,40,0.851063829787234
21,female,Chakwal ,urban,0,0,
22,female,Charsada,rural,77,41,0.5324675324675324
23,female,Charsada,urban,0,0,
24,female,Chiniot,rural,45,17,0.37777777777777777
25,female,Chiniot,urban,0,0,
26,female,Chitral ,rural,72,53,0.7361111111111112
27,female,Chitral ,urban,0,0,
28,female,D. G. Khan,rural,0,0,
29,female,D. G. Khan,urban,105,74,0.7047619047619048
30,female,D. I. Khan,rural,0,0,
31,female,D. I. Khan,urban,156,117,0.75
32,female,D.G.Khan ,rural,148,73,0.49324324324324326
33,female,D.G.Khan ,urban,0,0,
34,female,D.I.Khan ,rural,185,45,0.24324324324324326
35,female,D.I.Khan ,urban,0,0,
36,female,Dadu ,rural,67,31,0.4626865671641791
37,female,Dadu ,urban,0,0,
38,female,Faisalabad ,rural,165,123,0.7454545454545455
39,female,Faisalabad ,urban,274,225,0.8211678832116789
40,female,Ghotki ,rural,181,31,0.1712707182320442
41,female,Ghotki ,urban,0,0,
42,female,Gujaranwala ,rural,0,0,
43,female,Gujaranwala ,urban,270,251,0.9296296296296296
44,female,Gujranwala ,rural,100,82,0.82
45,female,Gujranwala ,urban,0,0,
46,female,Gujrat ,rural,114,108,0.9473684210526315
47,female,Gujrat ,urban,0,0,
48,female,Haifzabad ,rural,52,32,0.6153846153846154
49,female,Haifzabad ,urban,0,0,
50,female,Hangu ,rural,107,28,0.2616822429906542
51,female,Hangu ,urban,0,0,
52,female,Haripur ,rural,63,54,0.8571428571428571
53,female,Haripur ,urban,0,0,
54,female,Hazara,rural,0,0,
55,female,Hazara,urban,146,126,0.863013698630137
56,female,Hyderabad,rural,0,0,
57,female,Hyderabad,urban,411,277,0.6739659367396593
58,female,Hyderabad ,rural,63,20,0.31746031746031744
59,female,Hyderabad ,urban,0,0,
60,female,Islamabad,rural,110,96,0.8727272727272727
61,female,Islamabad,urban,143,120,0.8391608391608392
62,female,Jaccobabad ,rural,166,86,0.5180722891566265
63,female,Jaccobabad ,urban,0,0,
64,female,Jamshoro,rural,59,22,0.3728813559322034
65,female,Jamshoro,urban,0,0,
66,female,Jhang,rural,162,82,0.5061728395061729
67,female,Jhang,urban,0,0,
68,female,Jhelum,rural,46,37,0.8043478260869565
69,female,Jhelum,urban,0,0,
70,female,Kalat,rural,38,8,0.21052631578947367
71,female,Kalat,urban,56,35,0.625
72,female,Karachi,rural,61,29,0.47540983606557374
73,female,Karachi,urban,552,430,0.7789855072463768
74,female,Karak ,rural,96,56,0.5833333333333334
75,female,Karak ,urban,0,0,
76,female,Kashmore,rural,108,41,0.37962962962962965
77,female,Kashmore,urban,0,0,
78,female,Kasur ,rural,106,79,0.7452830188679245
79,female,Kasur ,urban,0,0,
80,female,Khairpur ,rural,193,91,0.47150259067357514
81,female,Khairpur ,urban,0,0,
82,female,Khanewal ,rural,62,24,0.3870967741935484
83,female,Khanewal ,urban,0,0,
84,female,Khushab ,rural,58,43,0.7413793103448276
85,female,Khushab ,urban,0,0,
86,female,Kohat,rural,0,0,
87,female,Kohat,urban,148,100,0.6756756756756757
88,female,Kohat ,rural,71,41,0.5774647887323944
89,female,Kohat ,urban,0,0,
90,female,Kohistan,rural,72,15,0.20833333333333334
91,female,Kohistan,urban,0,0,
92,female,Lahore,rural,0,0,
93,female,Lahore,urban,386,321,0.8316062176165803
94,female,Lahore ,rural,55,48,0.8727272727272727
95,female,Lahore ,urban,0,0,
96,female,LakkiMarwat ,rural,80,39,0.4875
97,female,LakkiMarwat ,urban,0,0,
98,female,Larkana,rural,209,77,0.3684210526315789
99,female,Larkana,urban,194,146,0.7525773195876289
100,female,Layyah,rural,83,32,0.3855421686746988
101,female,Layyah,urban,0,0,
102,female,Lodhran ,rural,52,16,0.3076923076923077
103,female,Lodhran ,urban,0,0,
104,female,Lower Dir ,rural,80,59,0.7375
105,female,Lower Dir ,urban,0,0,
106,female,Malakand,rural,0,0,
107,female,Malakand,urban,184,115,0.625
108,female,Malakand ,rural,79,54,0.6835443037974683
109,female,Malakand ,urban,0,0,
110,female,Mandi Bahuddin ,rural,65,56,0.8615384615384616
111,female,Mandi Bahuddin ,urban,0,0,
112,female,Manshera ,rural,139,101,0.7266187050359713
113,female,Manshera ,urban,0,0,
114,female,Mardan,rural,0,0,
115,female,Mardan,urban,144,88,0.6111111111111112
116,female,Mardan ,rural,148,90,0.6081081081081081
117,female,Mardan ,urban,0,0,
118,female,Matiari,rural,79,21,0.26582278481012656
119,female,Matiari,urban,0,0,
120,female,Mianwali,rural,50,35,0.7
121,female,Mianwali,urban,0,0,
122,female,Mir Pur Khas,rural,0,0,
123,female,Mir Pur Khas,urban,195,141,0.7230769230769231
124,female,Mir Pur Khas ,rural,205,58,0.28292682926829266
125,female,Mir Pur Khas ,urban,0,0,
126,female,Multan ,rural,110,51,0.4636363636363636
127,female,Multan ,urban,338,251,0.742603550295858
128,female,Muraffar Garh ,rural,139,83,0.5971223021582733
129,female,Muraffar Garh ,urban,0,0,
130,female,Nankana Sahi,rural,125,96,0.768
131,female,Nankana Sahi,urban,0,0,
132,female,Narowal ,rural,70,58,0.8285714285714286
133,female,Narowal ,urban,0,0,
134,female,Nasirabad,rural,242,46,0.19008264462809918
135,female,Nasirabad,urban,126,71,0.5634920634920635
136,female,Nawabshah,rural,145,41,0.2827586206896552
137,female,Nawabshah,urban,0,0,
138,female,Nowshera ,rural,70,42,0.6
139,female,Nowshera ,urban,0,0,
140,female,Nowshero Feroze ,rural,126,68,0.5396825396825397
141,female,Nowshero Feroze ,urban,0,0,
142,female,Okara,rural,107,71,0.6635514018691588
143,female,Okara,urban,0,0,
144,female,Pakpatten ,rural,36,20,0.5555555555555556
145,female,Pakpatten ,urban,0,0,
146,female,Peshawar,rural,0,0,
147,female,Peshawar,urban,372,250,0.6720430107526881
148,female,Peshawar ,rural,158,55,0.34810126582278483
149,female,Peshawar ,urban,0,0,
150,female,Quetta,rural,344,156,0.45348837209302323
151,female,Quetta,urban,348,194,0.5574712643678161
152,female,Rahim Yar Khan,rural,233,78,0.33476394849785407
153,female,Rahim Yar Khan,urban,0,0,
154,female,Rajanpur,rural,77,31,0.4025974025974026
155,female,Rajanpur,urban,0,0,
156,female,Rawalpindi,rural,0,0,
157,female,Rawalpindi,urban,243,220,0.9053497942386831
158,female,Rawalpindi ,rural,53,43,0.8113207547169812
159,female,Rawalpindi ,urban,0,0,
160,female,Sahiwal,rural,0,0,
161,female,Sahiwal,urban,114,91,0.7982456140350878
162,female,Sahiwal ,rural,98,61,0.6224489795918368
163,female,Sahiwal ,urban,0,0,
164,female,Sanghar,rural,192,86,0.4479166666666667
165,female,Sanghar,urban,0,0,
166,female,Sargodha ,rural,93,62,0.6666666666666666
167,female,Sargodha ,urban,241,201,0.8340248962655602
168,female,Shahdadkot,rural,81,27,0.3333333333333333
169,female,Shahdadkot,urban,0,0,
170,female,Shangla ,rural,78,22,0.28205128205128205
171,female,Shangla ,urban,0,0,
172,female,Sheikhupura ,rural,179,140,0.7821229050279329
173,female,Sheikhupura ,urban,0,0,
174,female,Shikarpur ,rural,174,67,0.3850574712643678
175,female,Shikarpur ,urban,0,0,
176,female,Sialkot ,rural,137,122,0.8905109489051095
177,female,Sialkot ,urban,91,86,0.945054945054945
178,female,Sibbi,rural,159,26,0.16352201257861634
179,female,Sibbi,urban,123,72,0.5853658536585366
180,female,Sukkar ,rural,71,27,0.38028169014084506
181,female,Sukkar ,urban,0,0,
182,female,Sukkur,rural,0,0,
183,female,Sukkur,urban,312,214,0.6858974358974359
184,female,Swabi ,rural,66,42,0.6363636363636364
185,female,Swabi ,urban,0,0,
186,female,Swat ,rural,169,101,0.5976331360946746
187,female,Swat ,urban,0,0,
188,female,T.T.Singh ,rural,125,88,0.704
189,female,T.T.Singh ,urban,0,0,
190,female,Tando Muhd Khan,rural,79,18,0.22784810126582278
191,female,Tando Muhd Khan,urban,0,0,
192,female,TandoAllah Yar,rural,71,31,0.43661971830985913
193,female,TandoAllah Yar,urban,0,0,
194,female,Tank ,rural,100,9,0.09
195,female,Tank ,urban,0,0,
196,female,Tharparkar ,rural,79,30,0.379746835443038
197,female,Tharparkar ,urban,0,0,
198,female,Thatta ,rural,121,19,0.15702479338842976
199,female,Thatta ,urban,0,0,
200,female,Tor Garh,rural,93,14,0.15053763440860216
201,female,Tor Garh,urban,0,0,
202,female,Umer Kot,rural,70,7,0.1
203,female,Umer Kot,urban,0,0,
204,female,UpperDir ,rural,96,50,0.5208333333333334
205,female,UpperDir ,urban,0,0,
206,female,Vehari ,rural,114,73,0.6403508771929824
207,female,Vehari ,urban,0,0,
208,female,Zhob,rural,389,99,0.2544987146529563
209,female,Zhob,urban,234,130,0.5555555555555556
210,male,Abbottabad,rural,107,97,0.9065420560747663
211,male,Abbottabad,urban,0,0,
212,male,Attock ,rural,92,78,0.8478260869565217
213,male,Attock ,urban,0,0,
214,male,Badin ,rural,141,59,0.41843971631205673
215,male,Badin ,urban,0,0,
216,male,Bahawalnagar,rural,124,76,0.6129032258064516
217,male,Bahawalnagar,urban,0,0,
218,male,Bahawalpur,rural,131,80,0.6106870229007634
219,male,Bahawalpur,urban,200,155,0.775
220,male,Bannu,rural,0,0,
221,male,Bannu,urban,174,134,0.7701149425287356
222,male,Bannu ,rural,208,132,0.6346153846153846
223,male,Bannu ,urban,0,0,
224,male,Batagram ,rural,87,53,0.6091954022988506
225,male,Batagram ,urban,0,0,
226,male,Bhakhar ,rural,147,107,0.7278911564625851
227,male,Bhakhar ,urban,0,0,
228,male,Bonair ,rural,90,74,0.8222222222222222
229,male,Bonair ,urban,0,0,
230,male,Chakwal ,rural,44,40,0.9090909090909091
231,male,Chakwal ,urban,0,0,
232,male,Charsada,rural,86,62,0.7209302325581395
233,male,Charsada,urban,0,0,
234,male,Chiniot,rural,51,34,0.6666666666666666
235,male,Chiniot,urban,0,0,
236,male,Chitral ,rural,87,72,0.8275862068965517
237,male,Chitral ,urban,0,0,
238,male,D. G. Khan,rural,0,0,
239,male,D. G. Khan,urban,76,60,0.7894736842105263
240,male,D. I. Khan,rural,0,0,
241,male,D. I. Khan,urban,141,114,0.8085106382978723
242,male,D.G.Khan ,rural,150,97,0.6466666666666666
243,male,D.G.Khan ,urban,0,0,
244,male,D.I.Khan ,rural,198,99,0.5
245,male,D.I.Khan ,urban,0,0,
246,male,Dadu ,rural,92,53,0.5760869565217391
247,male,Dadu ,urban,0,0,
248,male,Faisalabad ,rural,197,148,0.751269035532995
249,male,Faisalabad ,urban,280,236,0.8428571428571429
250,male,Ghotki ,rural,211,121,0.5734597156398105
251,male,Ghotki ,urban,0,0,
252,male,Gujaranwala ,rural,0,0,
253,male,Gujaranwala ,urban,275,237,0.8618181818181818
254,male,Gujranwala ,rural,121,98,0.8099173553719008
255,male,Gujranwala ,urban,0,0,
256,male,Gujrat ,rural,111,99,0.8918918918918919
257,male,Gujrat ,urban,0,0,
258,male,Haifzabad ,rural,70,57,0.8142857142857143
259,male,Haifzabad ,urban,0,0,
260,male,Hangu ,rural,101,76,0.7524752475247525
261,male,Hangu ,urban,0,0,
