,sex,subprovince,region,sample_population,enrolled_total,rate_enrollment
0,male,Abbotabad,rural,42,37,0.8809523809523809
1,male,Abbotabad,urban,0,0,
2,male,Attock,rural,64,51,0.796875
3,male,Attock,urban,0,0,
4,male,Badin,rural,110,60,0.5454545454545454
5,male,Badin,urban,0,0,
6,male,Bahawalnager,rural,85,53,0.6235294117647059
7,male,Bahawalnager,urban,0,0,
8,male,Bahawalpur,rural,100,58,0.58
9,male,Bahawalpur,urban,162,125,0.7716049382716049
10,male,Bannu,rural,150,97,0.6466666666666666
11,male,Bannu,urban,82,59,0.7195121951219512
12,male,Batagram,rural,63,45,0.7142857142857143
13,male,Batagram,urban,0,0,
14,male,Bhakar,rural,104,54,0.5192307692307693
15,male,Bhakar,urban,0,0,
16,male,Bonair,rural,79,52,0.6582278481012658
17,male,Bonair,urban,0,0,
18,male,Chakwal,rural,32,27,0.84375
19,male,Chakwal,urban,0,0,
20,male,Charsada,rural,59,37,0.6271186440677966
21,male,Charsada,urban,0,0,
22,male,Chitral,rural,57,32,0.5614035087719298
23,male,Chitral,urban,0,0,
24,male,D.G.Khan,rural,114,50,0.43859649122807015
25,male,D.G.Khan,urban,64,45,0.703125
26,male,D.I.Khan,rural,166,65,0.39156626506024095
27,male,D.I.Khan,urban,105,52,0.49523809523809526
28,male,Dadu,rural,216,95,0.4398148148148148
29,male,Dadu,urban,0,0,
30,male,Faisalabad,rural,127,91,0.7165354330708661
31,male,Faisalabad,urban,208,157,0.7548076923076923
32,male,Ghotki,rural,125,72,0.576
33,male,Ghotki,urban,0,0,
34,male,Gujranwala,rural,90,60,0.6666666666666666
35,male,Gujranwala,urban,194,168,0.865979381443299
36,male,Gujrat,rural,60,53,0.8833333333333333
37,male,Gujrat,urban,0,0,
38,male,Haifzabad,rural,38,26,0.6842105263157895
39,male,Haifzabad,urban,0,0,
40,male,Hangu,rural,85,47,0.5529411764705883
41,male,Hangu,urban,0,0,
42,male,Haripur,rural,25,22,0.88
43,male,Haripur,urban,0,0,
44,male,Hyderabad,rural,93,49,0.5268817204301075
45,male,Hyderabad,urban,241,144,0.5975103734439834
46,male,Hzara,rural,0,0,
47,male,Hzara,urban,74,69,0.9324324324324325
48,male,Islamabad,rural,82,70,0.8536585365853658
49,male,Islamabad,urban,62,52,0.8387096774193549
50,male,Jaccobabad,rural,234,56,0.23931623931623933
51,male,Jaccobabad,urban,0,0,
52,male,Jhang,rural,131,89,0.6793893129770993
53,male,Jhang,urban,0,0,
54,male,Jhelum,rural,46,38,0.8260869565217391
55,male,Jhelum,urban,0,0,
56,male,Kalat,rural,320,99,0.309375
57,male,Kalat,urban,147,74,0.5034013605442177
58,male,Karachi,rural,50,20,0.4
59,male,Karachi,urban,369,268,0.7262872628726287
60,male,Karak,rural,83,61,0.7349397590361446
61,male,Karak,urban,0,0,
62,male,Kasur,rural,113,78,0.6902654867256637
63,male,Kasur,urban,0,0,
64,male,Khairpur,rural,123,69,0.5609756097560976
65,male,Khairpur,urban,0,0,
66,male,Khanewal,rural,52,34,0.6538461538461539
67,male,Khanewal,urban,0,0,
68,male,Khushab,rural,43,35,0.813953488372093
69,male,Khushab,urban,0,0,
70,male,Kohat,rural,59,41,0.6949152542372882
71,male,Kohat,urban,100,66,0.66
72,male,Kohistan,rural,60,12,0.2
73,male,Kohistan,urban,0,0,
74,male,Lahore,rural,49,33,0.673469387755102
75,male,Lahore,urban,296,228,0.7702702702702703
76,male,LakkiMarwat,rural,96,71,0.7395833333333334
77,male,LakkiMarwat,urban,0,0,
78,male,Larkana,rural,137,62,0.45255474452554745
79,male,Larkana,urban,115,69,0.6
80,male,Layya,rural,48,25,0.5208333333333334
81,male,Layya,urban,0,0,
82,male,Lodhran,rural,44,25,0.5681818181818182
83,male,Lodhran,urban,0,0,
84,male,LowerDir,rural,70,34,0.4857142857142857
85,male,LowerDir,urban,0,0,
86,male,Makran,rural,160,86,0.5375
87,male,Makran,urban,96,61,0.6354166666666666
88,male,Malakand,rural,54,37,0.6851851851851852
89,male,Malakand,urban,87,59,0.6781609195402298
90,male,Mandi Bahuddin,rural,44,34,0.7727272727272727
91,male,Mandi Bahuddin,urban,0,0,
92,male,Manshera,rural,100,64,0.64
93,male,Manshera,urban,0,0,
94,male,Mardan,rural,112,74,0.6607142857142857
95,male,Mardan,urban,131,84,0.6412213740458015
96,male,Mianwali,rural,52,38,0.7307692307692307
97,male,Mianwali,urban,0,0,
98,male,Mir Pur Khas,rural,169,71,0.42011834319526625
99,male,Mir Pur Khas,urban,108,66,0.6111111111111112
