,sex,subprovince,region,sample_population,enrolled_total,rate_enrollment
0,male,Abbottabad,rural,174,146.0,0.8390804597701149
1,male,Abbottabad,urban,70,70.0,1.0
2,male,Awaran,rural,308,177.0,0.5746753246753247
3,male,Awaran,urban,0,,
4,male,Baddin,rural,461,217.0,0.47071583514099785
5,male,Baddin,urban,90,61.0,0.6777777777777778
6,male,Bahawalpur,rural,422,282.0,0.6682464454976303
7,male,Bahawalpur,urban,248,183.0,0.7379032258064516
8,male,Bannu,rural,342,274.0,0.8011695906432749
9,male,Bannu,urban,55,45.0,0.8181818181818182
10,male,Barkhan,rural,318,259.0,0.8144654088050315
11,male,Barkhan,urban,43,40.0,0.9302325581395349
12,male,Batagram,rural,306,250.0,0.8169934640522876
13,male,Batagram,urban,0,,
14,male,Bhakar,rural,221,156.0,0.7058823529411765
15,male,Bhakar,urban,108,88.0,0.8148148148148148
16,male,Bhawanagar,rural,374,296.0,0.7914438502673797
17,male,Bhawanagar,urban,115,93.0,0.808695652173913
18,male,Bolan/kachhi,rural,274,166.0,0.6058394160583942
19,male,Bolan/kachhi,urban,56,44.0,0.7857142857142857
20,male,Bonair,rural,368,286.0,0.7771739130434783
21,male,Bonair,urban,0,,
22,male,Chaghi,rural,287,146.0,0.5087108013937283
23,male,Chaghi,urban,39,25.0,0.6410256410256411
24,male,Chakwal,rural,134,125.0,0.9328358208955224
25,male,Chakwal,urban,44,43.0,0.9772727272727273
26,male,Charsada,rural,274,233.0,0.8503649635036497
27,male,Charsada,urban,108,99.0,0.9166666666666666
28,male,Chiniot,rural,188,165.0,0.8776595744680851
29,male,Chiniot,urban,121,106.0,0.8760330578512396
30,male,Chitral,rural,233,188.0,0.8068669527896996
31,male,Chitral,urban,46,42.0,0.9130434782608695
32,male,D.g khan,rural,438,331.0,0.7557077625570776
33,male,D.g khan,urban,118,106.0,0.8983050847457628
34,male,D.i.khan,rural,313,193.0,0.6166134185303515
35,male,D.i.khan,urban,67,52.0,0.7761194029850746
36,male,Dadu,rural,499,366.0,0.7334669338677354
37,male,Dadu,urban,90,70.0,0.7777777777777778
38,male,Dera bugti,rural,214,34.0,0.1588785046728972
39,male,Dera bugti,urban,56,36.0,0.6428571428571429
40,male,Faisalabad,rural,537,477.0,0.888268156424581
41,male,Faisalabad,urban,531,485.0,0.9133709981167608
42,male,Gawadar,rural,207,173.0,0.8357487922705314
43,male,Gawadar,urban,101,82.0,0.8118811881188119
44,male,Ghotki,rural,556,344.0,0.6187050359712231
45,male,Ghotki,urban,143,119.0,0.8321678321678322
46,male,Gujranwala,rural,321,301.0,0.9376947040498442
47,male,Gujranwala,urban,296,274.0,0.9256756756756757
48,male,Gujrat,rural,278,263.0,0.9460431654676259
49,male,Gujrat,urban,129,115.0,0.8914728682170543
50,male,Hafaizabad,rural,233,216.0,0.927038626609442
51,male,Hafaizabad,urban,85,77.0,0.9058823529411765
52,male,Hangu,rural,352,290.0,0.8238636363636364
53,male,Hangu,urban,72,60.0,0.8333333333333334
54,male,Haripur,rural,160,146.0,0.9125
55,male,Haripur,urban,64,62.0,0.96875
56,male,Harnai,rural,256,147.0,0.57421875
57,male,Harnai,urban,35,29.0,0.8285714285714286
58,male,Hyderabad,rural,192,110.0,0.5729166666666666
59,male,Hyderabad,urban,247,206.0,0.8340080971659919
60,male,Islamabad,rural,88,82.0,0.9318181818181818
61,male,Islamabad,urban,118,108.0,0.9152542372881356
62,male,Jaccobabad,rural,399,219.0,0.5488721804511278
63,male,Jaccobabad,urban,120,89.0,0.7416666666666667
64,male,Jaffarabad,rural,341,151.0,0.44281524926686217
