,sex,subprovince,region,sample_population,enrolled_total,rate_enrollment
0,female,Abbotabad,3,0,0,
1,female,Abbotabad,rural,944,352,0.3728813559322034
2,female,Abbotabad,urban,0,0,
3,female,Attock ,3,0,0,
4,female,Attock ,rural,631,251,0.3977812995245642
5,female,Attock ,urban,0,0,
6,female,Badin ,3,0,0,
7,female,Badin ,rural,890,282,0.31685393258426964
8,female,Badin ,urban,0,0,
9,female,Bahawal Nagar ,3,0,0,
10,female,Bahawal Nagar ,rural,1040,287,0.2759615384615385
11,female,Bahawal Nagar ,urban,0,0,
12,female,Bahawalpur,3,0,0,
13,female,Bahawalpur,rural,1110,240,0.21621621621621623
14,female,Bahawalpur,urban,742,335,0.45148247978436656
15,female,Bahawalpur ,3,0,0,
16,female,Bahawalpur ,rural,0,0,
17,female,Bahawalpur ,urban,560,259,0.4625
18,female,Bannu,3,0,0,
19,female,Bannu,rural,0,0,
20,female,Bannu,urban,667,287,0.4302848575712144
21,female,Bannu ,3,0,0,
22,female,Bannu ,rural,1616,543,0.33601485148514854
23,female,Bannu ,urban,0,0,
24,female,Batagram ,3,0,0,
25,female,Batagram ,rural,625,149,0.2384
26,female,Batagram ,urban,0,0,
27,female,Bhakar ,3,0,0,
28,female,Bhakar ,rural,1025,249,0.24292682926829268
29,female,Bhakar ,urban,0,0,
30,female,Bonair ,3,0,0,
31,female,Bonair ,rural,1195,452,0.3782426778242678
32,female,Bonair ,urban,0,0,
33,female,Chakwal ,3,0,0,
34,female,Chakwal ,rural,276,121,0.4384057971014493
35,female,Chakwal ,urban,0,0,
36,female,Charsada,3,0,0,
37,female,Charsada,rural,877,223,0.2542759407069555
38,female,Charsada,urban,0,0,
39,female,Chitral ,3,0,0,
40,female,Chitral ,rural,743,221,0.297442799461642
41,female,Chitral ,urban,0,0,
42,female,D.G.Khan ,3,0,0,
43,female,D.G.Khan ,rural,1269,344,0.2710795902285264
44,female,D.G.Khan ,urban,760,317,0.41710526315789476
45,female,D.I. Khan,3,0,0,
46,female,D.I. Khan,rural,0,0,
47,female,D.I. Khan,urban,1001,370,0.3696303696303696
48,female,D.I.Khan ,3,0,0,
49,female,D.I.Khan ,rural,1425,180,0.12631578947368421
50,female,D.I.Khan ,urban,0,0,
51,female,Dadu ,3,0,0,
52,female,Dadu ,rural,1869,399,0.21348314606741572
53,female,Dadu ,urban,0,0,
54,female,Faisalabad,3,0,0,
55,female,Faisalabad,rural,0,0,
56,female,Faisalabad,urban,1254,496,0.39553429027113235
57,female,Faisalabad ,3,2,0,0.0
58,female,Faisalabad ,rural,1325,544,0.41056603773584904
59,female,Faisalabad ,urban,1448,739,0.5103591160220995
60,female,Ghotki ,3,0,0,
