,sex,subprovince,region,sample_population,enrolled_total,rate_enrollment
0,male,Abbottabad,rural,33,33.0,1.0
1,male,Abbottabad,urban,160,149.0,0.93125
2,male,Attock,rural,50,48.0,0.96
3,male,Attock,urban,247,229.0,0.9271255060728745
4,male,Awaran,rural,0,,
5,male,Awaran,urban,249,199.0,0.7991967871485943
6,male,Badin,rural,151,112.0,0.7417218543046358
7,male,Badin,urban,642,347.0,0.5404984423676013
8,male,Bahawalnagar,rural,63,56.0,0.8888888888888888
9,male,Bahawalnagar,urban,397,299.0,0.7531486146095718
10,male,Bahawalpur,rural,151,125.0,0.8278145695364238
11,male,Bahawalpur,urban,980,595.0,0.6071428571428571
12,male,Bannu,rural,13,11.0,0.8461538461538461
13,male,Bannu,urban,411,338.0,0.8223844282238443
14,male,Barkhan,rural,24,21.0,0.875
15,male,Barkhan,urban,466,385.0,0.8261802575107297
16,male,Batagram,rural,0,,
17,male,Batagram,urban,567,424.0,0.7477954144620811
18,male,Bhakkar,rural,59,53.0,0.8983050847457628
19,male,Bhakkar,urban,605,481.0,0.7950413223140496
20,male,Bolan/ kachhi,rural,16,12.0,0.75
21,male,Bolan/ kachhi,urban,275,156.0,0.5672727272727273
22,male,Buner,rural,0,,
23,male,Buner,urban,847,678.0,0.8004722550177096
24,male,Chagai,rural,27,23.0,0.8518518518518519
25,male,Chagai,urban,287,167.0,0.5818815331010453
26,male,Chakwal,rural,20,17.0,0.85
27,male,Chakwal,urban,195,185.0,0.9487179487179487
28,male,Charsadda,rural,35,33.0,0.9428571428571428
29,male,Charsadda,urban,371,317.0,0.8544474393530997
30,male,Chiniot,rural,57,50.0,0.8771929824561403
31,male,Chiniot,urban,324,253.0,0.7808641975308642
32,male,Chitral,rural,14,11.0,0.7857142857142857
33,male,Chitral,urban,250,207.0,0.828
34,male,D. g. khan,rural,88,81.0,0.9204545454545454
35,male,D. g. khan,urban,1303,953.0,0.7313891020721413
36,male,D. i. khan,rural,31,27.0,0.8709677419354839
