,hhcode,idc,ever_admitted,max_level_achieved,currently_enrolled,why_not,region,province,age,sex,marital_status,subprovince code
2,1111000101.0,3,no,4.0,no,,urban,1,10,female,unmarried,1111
3,1111000101.0,4,no,3.0,no,,urban,1,9,female,unmarried,1111
4,1111000101.0,5,yes,1.0,yes,,urban,1,7,female,unmarried,1111
7,1111000102.0,3,yes,12.0,no,,urban,1,14,female,unmarried,1111
10,1111000103.0,3,yes,0.0,no,5.0,urban,1,7,female,unmarried,1111
11,1111000103.0,4,no,10.0,no,11.0,urban,1,6,male,unmarried,1111
20,1111000105.0,6,yes,8.0,yes,,urban,1,12,male,unmarried,1111
27,1111000107.0,4,yes,0.0,yes,,urban,1,15,male,unmarried,1111
28,1111000107.0,5,yes,,yes,,urban,1,9,male,unmarried,1111
29,1111000107.0,6,yes,,yes,,urban,1,7,female,unmarried,1111
30,1111000107.0,7,yes,13.0,yes,,urban,1,6,female,unmarried,1111
34,1111000108.0,4,no,7.0,no,,urban,1,14,female,unmarried,1111
35,1111000108.0,5,no,,no,,urban,1,12,female,unmarried,1111
39,1111000109.0,4,no,18.0,no,,urban,1,14,male,unmarried,1111
40,1111000109.0,5,no,12.0,no,4.0,urban,1,12,female,unmarried,1111
41,1111000109.0,6,no,12.0,no,11.0,urban,1,9,female,unmarried,1111
50,1111000112.0,5,no,12.0,no,6.0,urban,1,15,female,unmarried,1111
51,1111000112.0,6,yes,,yes,,urban,1,14,female,unmarried,1111
57,1111000201.0,6,yes,13.0,yes,,urban,1,15,male,unmarried,1111
58,1111000201.0,7,yes,12.0,no,,urban,1,12,female,unmarried,1111
59,1111000201.0,8,yes,12.0,no,,urban,1,8,female,unmarried,1111
75,1111000206.0,6,yes,13.0,no,,urban,1,12,female,unmarried,1111
76,1111000206.0,7,no,2.0,no,,urban,1,7,female,unmarried,1111
89,1111000209.0,5,yes,5.0,yes,,urban,1,8,female,unmarried,1111
90,1111000209.0,6,yes,10.0,yes,,urban,1,5,male,unmarried,1111
92,1111000210.0,1,no,,no,,urban,1,15,male,unmarried,1111
93,1111000210.0,2,no,12.0,no,,urban,1,10,male,unmarried,1111
99,1111000211.0,4,yes,7.0,yes,,urban,1,8,female,unmarried,1111
100,1111000211.0,5,no,3.0,no,,urban,1,6,female,unmarried,1111
112,1111000302.0,3,yes,4.0,yes,,urban,1,14,female,unmarried,1111
113,1111000302.0,4,yes,2.0,yes,,urban,1,12,male,unmarried,1111
116,1111000303.0,3,yes,4.0,no,,urban,1,10,female,unmarried,1111
117,1111000303.0,4,yes,,yes,,urban,1,8,male,unmarried,1111
118,1111000303.0,5,no,6.0,no,,urban,1,6,female,unmarried,1111
121,1111000304.0,3,yes,,yes,,urban,1,6,male,unmarried,1111
125,1111000305.0,3,yes,13.0,no,11.0,urban,1,12,female,unmarried,1111
126,1111000305.0,4,yes,12.0,no,11.0,urban,1,10,female,unmarried,1111
127,1111000305.0,5,yes,10.0,yes,,urban,1,8,female,unmarried,1111
128,1111000305.0,6,yes,9.0,yes,,urban,1,6,female,unmarried,1111
139,1111000308.0,4,yes,5.0,yes,,urban,1,10,female,unmarried,1111
150,1111000312.0,2,yes,,yes,,urban,1,12,male,unmarried,1111
151,1111000312.0,3,no,,no,,urban,1,10,male,unmarried,1111
172,1111000407.0,3,yes,8.0,yes,,urban,1,15,male,unmarried,1111
173,1111000407.0,4,yes,8.0,yes,,urban,1,14,male,unmarried,1111
174,1111000407.0,5,no,4.0,no,,urban,1,12,female,unmarried,1111
187,1111000412.0,3,yes,2.0,yes,,urban,1,7,female,unmarried,1111
193,1111000501.0,4,yes,14.0,no,,urban,1,12,male,unmarried,1111
216,1111000506.0,3,yes,,yes,,urban,1,8,male,unmarried,1111
217,1111000506.0,4,yes,12.0,yes,,urban,1,6,female,unmarried,1111
218,1111000506.0,5,yes,14.0,no,11.0,urban,1,5,female,unmarried,1111
238,1111000512.0,2,yes,1.0,no,,urban,1,9,male,unmarried,1111
239,1111000512.0,3,no,0.0,no,4.0,urban,1,7,female,unmarried,1111
249,1111000602.0,6,yes,,yes,,urban,1,7,female,unmarried,1111
250,1111000602.0,7,yes,,yes,,urban,1,5,male,unmarried,1111
255,1111000603.0,5,yes,,yes,,urban,1,12,female,unmarried,1111
256,1111000603.0,6,yes,,yes,,urban,1,5,female,unmarried,1111
261,1111000604.0,3,yes,,no,,urban,1,13,male,unmarried,1111
262,1111000604.0,4,yes,,yes,,urban,1,10,female,unmarried,1111
263,1111000604.0,5,yes,,yes,,urban,1,7,male,unmarried,1111
264,1111000604.0,6,yes,8.0,yes,,urban,1,5,male,unmarried,1111
268,1111000605.0,3,yes,0.0,no,,urban,1,13,female,unmarried,1111
269,1111000605.0,4,yes,8.0,yes,,urban,1,12,male,unmarried,1111
270,1111000605.0,5,yes,,yes,,urban,1,9,male,unmarried,1111
271,1111000605.0,6,yes,,no,,urban,1,5,male,unmarried,1111
274,1111000605.0,9,no,8.0,no,,urban,1,5,male,unmarried,1111
279,1111000606.0,3,yes,,yes,,urban,1,14,male,unmarried,1111
280,1111000606.0,4,yes,13.0,yes,,urban,1,12,male,unmarried,1111
283,1111000607.0,3,yes,7.0,no,,urban,1,12,female,unmarried,1111
284,1111000607.0,4,yes,5.0,yes,,urban,1,10,female,unmarried,1111
285,1111000607.0,5,yes,0.0,yes,,urban,1,8,male,unmarried,1111
288,1111000608.0,3,yes,1.0,yes,,urban,1,14,female,unmarried,1111
289,1111000608.0,4,yes,7.0,yes,,urban,1,12,male,unmarried,1111
290,1111000608.0,5,yes,,yes,,urban,1,5,female,unmarried,1111
293,1111000609.0,3,yes,,yes,,urban,1,14,male,unmarried,1111
294,1111000609.0,4,yes,6.0,yes,,urban,1,12,male,unmarried,1111
295,1111000609.0,5,yes,5.0,yes,,urban,1,10,female,unmarried,1111
309,1111000611.0,8,no,9.0,no,,urban,1,15,female,unmarried,1111
316,1111000701.0,3,yes,16.0,yes,,urban,1,6,male,unmarried,1111
323,1111000703.0,3,yes,4.0,yes,,urban,1,7,male,unmarried,1111
326,1111000705.0,3,no,13.0,no,4.0,urban,1,12,male,unmarried,1111
327,1111000705.0,4,no,12.0,no,4.0,urban,1,10,male,unmarried,1111
328,1111000705.0,5,no,10.0,no,,urban,1,6,male,unmarried,1111
331,1111000706.0,3,yes,12.0,yes,,urban,1,12,female,unmarried,1111
332,1111000706.0,4,yes,10.0,yes,,urban,1,8,male,unmarried,1111
333,1111000706.0,5,yes,11.0,yes,,urban,1,6,female,unmarried,1111
338,1111000707.0,3,yes,7.0,no,5.0,urban,1,8,male,unmarried,1111
340,1111000707.0,7,yes,4.0,yes,,urban,1,14,female,unmarried,1111
344,1111000708.0,3,yes,3.0,yes,,urban,1,15,male,unmarried,1111
345,1111000708.0,4,yes,0.0,yes,,urban,1,13,male,unmarried,1111
346,1111000708.0,5,yes,4.0,yes,,urban,1,10,female,unmarried,1111
350,1111000709.0,4,no,3.0,no,1.0,urban,1,9,female,unmarried,1111
353,1111000709.0,8,yes,,no,,urban,1,7,male,unmarried,1111
359,1111000710.0,4,yes,,no,5.0,urban,1,14,male,unmarried,1111
368,1111000803.0,3,yes,5.0,yes,,urban,1,9,male,unmarried,1111
369,1111000803.0,4,yes,,yes,,urban,1,7,male,unmarried,1111
370,1111000803.0,5,yes,10.0,yes,,urban,1,6,female,unmarried,1111
371,1111000803.0,6,yes,12.0,yes,,urban,1,5,male,unmarried,1111
378,1111000805.0,4,no,,no,,urban,1,13,female,unmarried,1111
384,1111000806.0,6,yes,,no,1.0,urban,1,15,female,unmarried,1111
385,1111000806.0,7,yes,3.0,yes,,urban,1,13,female,unmarried,1111
389,1111000807.0,4,yes,4.0,yes,,urban,1,13,female,unmarried,1111
390,1111000807.0,5,yes,3.0,yes,,urban,1,10,female,unmarried,1111
395,1111000808.0,6,yes,14.0,no,4.0,urban,1,11,male,unmarried,1111
396,1111000808.0,7,yes,,no,5.0,urban,1,7,male,unmarried,1111
397,1111000808.0,8,yes,8.0,yes,,urban,1,14,male,unmarried,1111
406,1111000810.0,3,yes,,yes,,urban,1,10,female,unmarried,1111
407,1111000810.0,4,yes,4.0,yes,,urban,1,8,male,unmarried,1111
408,1111000810.0,5,yes,2.0,yes,,urban,1,7,male,unmarried,1111
409,1111000810.0,6,yes,1.0,yes,,urban,1,6,female,unmarried,1111
415,1111000811.0,5,yes,,yes,,urban,1,15,male,unmarried,1111
416,1111000811.0,6,yes,12.0,yes,,urban,1,11,male,unmarried,1111
421,1111000812.0,5,yes,7.0,yes,,urban,1,15,female,unmarried,1111
422,1111000812.0,6,yes,4.0,yes,,urban,1,12,male,unmarried,1111
428,1112000102.0,6,yes,,yes,,rural,1,12,female,unmarried,1112
429,1112000102.0,8,yes,,no,,rural,1,11,female,unmarried,1112
430,1112000102.0,9,yes,,yes,,rural,1,6,male,unmarried,1112
451,1112000107.0,4,yes,,yes,,rural,1,14,female,unmarried,1112
452,1112000107.0,5,yes,10.0,yes,,rural,1,12,female,unmarried,1112
457,1112000108.0,6,yes,,no,,rural,1,15,male,unmarried,1112
458,1112000108.0,7,yes,,yes,,rural,1,10,male,unmarried,1112
459,1112000108.0,8,yes,6.0,yes,,rural,1,7,male,unmarried,1112
462,1112000109.0,3,yes,,no,,rural,1,13,male,unmarried,1112
463,1112000109.0,4,yes,,yes,,rural,1,10,male,unmarried,1112
464,1112000109.0,5,yes,,yes,,rural,1,9,female,unmarried,1112
465,1112000109.0,6,yes,,yes,,rural,1,7,male,unmarried,1112
466,1112000109.0,7,yes,,yes,,rural,1,5,male,unmarried,1112
468,1112000110.0,2,no,,no,,rural,1,8,male,unmarried,1112
469,1112000110.0,3,yes,5.0,yes,,rural,1,5,female,unmarried,1112
474,1112000111.0,4,yes,10.0,yes,,rural,1,7,male,unmarried,1112
475,1112000111.0,5,yes,8.0,yes,,rural,1,5,female,unmarried,1112
480,1112000112.0,5,no,,no,,rural,1,14,male,unmarried,1112
486,1112000202.0,3,yes,,no,,rural,1,6,male,unmarried,1112
502,1112000207.0,3,yes,,yes,,rural,1,9,female,unmarried,1112
505,1112000208.0,3,yes,14.0,yes,,rural,1,15,female,unmarried,1112
508,1112000208.0,6,yes,,yes,,rural,1,15,female,unmarried,1112
509,1112000208.0,7,yes,8.0,yes,,rural,1,13,female,unmarried,1112
510,1112000208.0,8,yes,6.0,yes,,rural,1,10,male,unmarried,1112
511,1112000208.0,9,yes,3.0,yes,,rural,1,7,female,unmarried,1112
514,1112000209.0,3,yes,,no,,rural,1,5,female,unmarried,1112
526,1112000211.0,3,no,5.0,no,,rural,1,11,male,unmarried,1112
535,1121000101.0,7,yes,,yes,,urban,1,12,male,unmarried,1121
538,1121000102.0,3,yes,,yes,,urban,1,11,female,unmarried,1121
539,1121000102.0,4,yes,,yes,,urban,1,8,male,unmarried,1121
552,1121000104.0,7,no,,no,1.0,urban,1,15,female,unmarried,1121
572,1121000108.0,5,yes,,yes,,urban,1,7,male,unmarried,1121
573,1121000108.0,6,yes,,yes,,urban,1,6,female,unmarried,1121
576,1121000109.0,3,yes,,no,4.0,urban,1,7,male,unmarried,1121
581,1121000110.0,5,no,14.0,no,,urban,1,7,male,unmarried,1121
590,1121000201.0,3,no,,no,,urban,1,15,male,unmarried,1121
591,1121000201.0,4,yes,,yes,,urban,1,13,female,unmarried,1121
592,1121000201.0,5,yes,,no,,urban,1,10,female,unmarried,1121
593,1121000201.0,6,yes,,yes,,urban,1,7,male,unmarried,1121
596,1121000202.0,3,yes,1.0,no,,urban,1,15,male,unmarried,1121
609,1121000205.0,7,no,,no,,urban,1,8,female,unmarried,1121
612,1121000206.0,3,no,8.0,no,6.0,urban,1,9,male,unmarried,1121
615,1121000207.0,3,yes,,no,,urban,1,9,male,unmarried,1121
636,1121000301.0,6,no,1.0,no,,urban,1,8,female,unmarried,1121
641,1121000301.0,11,yes,,yes,,urban,1,9,male,unmarried,1121
642,1121000301.0,12,no,,no,,urban,1,8,male,unmarried,1121
649,1121000303.0,3,no,6.0,no,6.0,urban,1,6,male,unmarried,1121
662,1121000305.0,4,no,,no,,urban,1,15,male,unmarried,1121
671,1121000307.0,2,no,5.0,no,,urban,1,11,male,unmarried,1121
672,1121000307.0,3,yes,9.0,yes,,urban,1,8,female,unmarried,1121
673,1121000307.0,4,yes,5.0,yes,,urban,1,7,female,unmarried,1121
679,1121000308.0,5,no,3.0,no,,urban,1,14,female,unmarried,1121
682,1121000309.0,3,yes,,yes,,urban,1,14,female,unmarried,1121
683,1121000309.0,4,yes,,yes,,urban,1,12,male,unmarried,1121
684,1121000309.0,5,no,,no,,urban,1,10,female,unmarried,1121
685,1121000309.0,6,yes,3.0,no,,urban,1,8,male,unmarried,1121
686,1121000309.0,7,yes,0.0,no,,urban,1,5,male,unmarried,1121
693,1121000310.0,8,yes,,yes,,urban,1,13,male,unmarried,1121
696,1121000311.0,3,no,10.0,no,,urban,1,10,male,unmarried,1121
697,1121000311.0,4,yes,,yes,,urban,1,9,female,unmarried,1121
698,1121000311.0,5,no,,no,,urban,1,7,male,unmarried,1121
705,1121000401.0,4,yes,,yes,,urban,1,13,male,unmarried,1121
706,1121000401.0,5,no,,no,,urban,1,8,male,unmarried,1121
707,1121000401.0,7,no,14.0,no,,urban,1,5,female,unmarried,1121
710,1121000403.0,3,yes,,yes,,urban,1,14,male,unmarried,1121
711,1121000403.0,4,yes,12.0,yes,,urban,1,12,female,unmarried,1121
719,1121000405.0,8,no,4.0,no,,urban,1,5,male,unmarried,1121
722,1121000406.0,3,no,5.0,no,,urban,1,6,female,unmarried,1121
727,1121000408.0,2,no,13.0,no,,urban,1,12,female,unmarried,1121
743,1121000409.0,17,yes,5.0,no,,urban,1,7,male,unmarried,1121
752,1121000410.0,6,yes,12.0,yes,,urban,1,12,male,unmarried,1121
753,1121000410.0,7,yes,10.0,yes,,urban,1,10,male,unmarried,1121
758,1121000411.0,5,yes,12.0,no,,urban,1,6,female,unmarried,1121
763,1121000411.0,10,yes,5.0,yes,,urban,1,15,female,unmarried,1121
767,1121000412.0,3,yes,,no,,urban,1,8,male,unmarried,1121
768,1121000412.0,4,yes,13.0,yes,,urban,1,7,male,unmarried,1121
769,1121000412.0,5,yes,5.0,yes,,urban,1,5,female,unmarried,1121
775,1121000501.0,6,no,14.0,no,,urban,1,14,female,unmarried,1121
791,1121000504.0,6,yes,8.0,yes,,urban,1,11,male,unmarried,1121
796,1121000505.0,5,yes,10.0,yes,,urban,1,14,male,unmarried,1121
797,1121000505.0,6,yes,7.0,no,,urban,1,11,male,unmarried,1121
798,1121000505.0,7,yes,5.0,yes,,urban,1,8,male,unmarried,1121
799,1121000505.0,8,yes,1.0,yes,,urban,1,6,male,unmarried,1121
810,1121000507.0,4,yes,,no,,urban,1,14,male,unmarried,1121
811,1121000507.0,5,yes,8.0,no,,urban,1,12,male,unmarried,1121
812,1121000507.0,6,yes,4.0,yes,,urban,1,9,male,unmarried,1121
818,1121000508.0,5,yes,,no,,urban,1,5,male,unmarried,1121
823,1121000508.0,10,no,10.0,no,,urban,1,5,male,unmarried,1121
829,1121000509.0,3,yes,,yes,,urban,1,9,female,unmarried,1121
830,1121000509.0,4,yes,,yes,,urban,1,7,male,unmarried,1121
835,1121000510.0,3,yes,7.0,yes,,urban,1,14,male,unmarried,1121
836,1121000510.0,4,yes,5.0,yes,,urban,1,12,male,unmarried,1121
837,1121000510.0,5,yes,3.0,yes,,urban,1,10,male,unmarried,1121
838,1121000510.0,6,yes,,yes,,urban,1,8,female,unmarried,1121
844,1121000602.0,4,yes,8.0,yes,,urban,1,15,male,unmarried,1121
845,1121000602.0,5,yes,12.0,no,,urban,1,13,female,unmarried,1121
846,1121000602.0,6,yes,8.0,yes,,urban,1,12,female,unmarried,1121
847,1121000602.0,7,yes,,yes,,urban,1,10,male,unmarried,1121
853,1121000603.0,6,no,5.0,no,,urban,1,5,male,unmarried,1121
872,1121000605.0,5,yes,6.0,yes,,urban,1,9,male,unmarried,1121
878,1121000606.0,3,yes,0.0,no,1.0,urban,1,6,male,unmarried,1121
879,1121000606.0,4,yes,,yes,,urban,1,5,male,unmarried,1121
884,1121000607.0,5,no,,no,,urban,1,8,male,unmarried,1121
885,1121000607.0,6,no,,no,,urban,1,7,male,unmarried,1121
886,1121000607.0,7,yes,,yes,,urban,1,5,female,unmarried,1121
895,1121000610.0,4,yes,9.0,yes,,urban,1,14,female,unmarried,1121
896,1121000610.0,5,yes,8.0,yes,,urban,1,13,male,unmarried,1121
897,1121000610.0,6,no,6.0,no,,urban,1,9,male,unmarried,1121
898,1121000610.0,7,yes,4.0,yes,,urban,1,8,female,unmarried,1121
899,1121000610.0,8,no,,no,,urban,1,5,female,unmarried,1121
906,1121000611.0,6,no,,no,,urban,1,6,female,unmarried,1121
913,1121000701.0,3,yes,0.0,yes,,urban,1,15,female,unmarried,1121
914,1121000701.0,4,yes,8.0,yes,,urban,1,14,male,unmarried,1121
915,1121000701.0,5,no,12.0,no,,urban,1,10,male,unmarried,1121
916,1121000701.0,6,no,13.0,no,,urban,1,8,male,unmarried,1121
920,1121000702.0,4,yes,5.0,yes,,urban,1,14,male,unmarried,1121
923,1121000703.0,5,no,8.0,no,,urban,1,15,male,unmarried,1121
928,1121000704.0,5,yes,9.0,yes,,urban,1,14,male,unmarried,1121
932,1121000705.0,4,yes,9.0,yes,,urban,1,15,female,unmarried,1121
952,1121000710.0,6,yes,,yes,,urban,1,14,male,unmarried,1121
953,1121000710.0,7,yes,,yes,,urban,1,8,male,unmarried,1121
960,1121000712.0,6,no,10.0,no,,urban,1,14,female,unmarried,1121
961,1121000712.0,7,no,10.0,no,,urban,1,11,female,unmarried,1121
962,1121000712.0,8,yes,6.0,no,,urban,1,9,male,unmarried,1121
963,1121000712.0,9,no,12.0,no,,urban,1,7,female,unmarried,1121
964,1121000712.0,10,no,10.0,no,,urban,1,6,female,unmarried,1121
968,1121000801.0,3,yes,,yes,,urban,1,12,male,unmarried,1121
969,1121000801.0,4,yes,,yes,,urban,1,10,male,unmarried,1121
970,1121000801.0,5,yes,,yes,,urban,1,8,female,unmarried,1121
987,1121000804.0,3,yes,6.0,yes,,urban,1,14,male,unmarried,1121
988,1121000804.0,4,yes,2.0,yes,,urban,1,11,female,unmarried,1121
989,1121000804.0,5,yes,0.0,yes,,urban,1,8,female,unmarried,1121
990,1121000804.0,6,yes,,yes,,urban,1,6,male,unmarried,1121
994,1121000805.0,3,no,8.0,no,7.0,urban,1,14,male,unmarried,1121
995,1121000805.0,4,yes,,yes,,urban,1,12,female,unmarried,1121
996,1121000805.0,5,yes,,yes,,urban,1,10,female,unmarried,1121
997,1121000805.0,6,yes,7.0,yes,,urban,1,7,female,unmarried,1121
1002,1121000806.0,3,no,1.0,no,,urban,1,15,female,unmarried,1121
1003,1121000806.0,5,no,0.0,no,,urban,1,7,female,unmarried,1121
1007,1121000808.0,3,no,,no,,urban,1,12,male,unmarried,1121
1008,1121000808.0,4,no,1.0,no,,urban,1,10,male,unmarried,1121
1009,1121000808.0,5,yes,0.0,yes,,urban,1,8,female,unmarried,1121
1010,1121000808.0,6,yes,0.0,yes,,urban,1,7,male,unmarried,1121
1011,1121000808.0,7,yes,,yes,,urban,1,5,male,unmarried,1121
1023,1121000811.0,3,yes,6.0,yes,,urban,1,9,male,unmarried,1121
1024,1121000811.0,4,yes,12.0,yes,,urban,1,6,male,unmarried,1121
1030,1121000812.0,5,no,,no,2.0,urban,1,10,female,unmarried,1121
1031,1121000812.0,6,no,12.0,no,2.0,urban,1,7,female,unmarried,1121
1034,1122000101.0,3,yes,7.0,yes,,rural,1,10,female,unmarried,1122
1035,1122000101.0,4,yes,4.0,yes,,rural,1,7,male,unmarried,1122
1039,1122000101.0,8,yes,2.0,yes,,rural,1,11,female,unmarried,1122
1056,1122000105.0,4,yes,,yes,,rural,1,11,male,unmarried,1122
1057,1122000105.0,5,yes,13.0,yes,,rural,1,10,female,unmarried,1122
1058,1122000105.0,6,yes,10.0,yes,,rural,1,7,male,unmarried,1122
1072,1122000108.0,3,yes,13.0,no,,rural,1,15,male,unmarried,1122
1073,1122000108.0,4,yes,0.0,yes,,rural,1,12,female,unmarried,1122
1074,1122000108.0,5,yes,13.0,yes,,rural,1,8,male,unmarried,1122
1075,1122000108.0,6,yes,13.0,yes,,rural,1,7,female,unmarried,1122
1078,1122000109.0,3,no,,no,,rural,1,14,male,unmarried,1122
1084,1122000112.0,4,yes,3.0,yes,,rural,1,10,female,unmarried,1122
1094,1122000203.0,3,yes,12.0,yes,,rural,1,15,female,unmarried,1122
1095,1122000203.0,4,no,12.0,no,11.0,rural,1,12,male,unmarried,1122
1096,1122000203.0,5,yes,6.0,yes,,rural,1,10,female,unmarried,1122
1099,1122000204.0,3,yes,11.0,yes,,rural,1,15,female,unmarried,1122
1100,1122000204.0,4,yes,12.0,yes,,rural,1,13,male,unmarried,1122
1101,1122000204.0,5,yes,8.0,yes,,rural,1,11,female,unmarried,1122
1106,1122000205.0,5,no,6.0,no,,rural,1,15,female,unmarried,1122
1107,1122000205.0,6,no,10.0,no,,rural,1,13,male,unmarried,1122
1109,1122000205.0,9,no,5.0,no,,rural,1,7,female,unmarried,1122
1110,1122000205.0,10,no,5.0,no,,rural,1,5,female,unmarried,1122
1117,1122000206.0,6,yes,10.0,yes,,rural,1,6,female,unmarried,1122
1125,1122000207.0,6,yes,,yes,,rural,1,5,male,unmarried,1122
1136,1122000209.0,5,yes,,yes,,rural,1,15,male,unmarried,1122
1137,1122000209.0,6,no,,no,,rural,1,13,male,unmarried,1122
1138,1122000209.0,7,yes,,yes,,rural,1,9,female,unmarried,1122
1141,1122000210.0,3,yes,10.0,no,,rural,1,15,female,unmarried,1122
1142,1122000210.0,4,yes,12.0,yes,,rural,1,12,male,unmarried,1122
1143,1122000210.0,5,yes,10.0,yes,,rural,1,9,female,unmarried,1122
1144,1122000210.0,6,yes,9.0,yes,,rural,1,7,female,unmarried,1122
1145,1122000210.0,7,yes,6.0,yes,,rural,1,5,female,unmarried,1122
1147,1122000211.0,2,no,14.0,no,,rural,1,12,male,unmarried,1122
1148,1122000211.0,3,yes,1.0,yes,,rural,1,10,male,unmarried,1122
1149,1122000211.0,4,yes,10.0,yes,,rural,1,7,male,unmarried,1122
1154,1122000212.0,4,yes,13.0,yes,,rural,1,13,male,unmarried,1122
1155,1122000212.0,5,yes,12.0,yes,,rural,1,12,female,unmarried,1122
1156,1122000212.0,6,yes,13.0,yes,,rural,1,10,male,unmarried,1122
1157,1122000212.0,7,yes,10.0,yes,,rural,1,8,female,unmarried,1122
1158,1122000212.0,8,no,,no,,rural,1,6,female,unmarried,1122
1162,1211000101.0,4,no,14.0,no,,urban,1,14,male,unmarried,1211
1163,1211000101.0,5,yes,12.0,yes,,urban,1,12,female,unmarried,1211
1172,1211000104.0,3,no,,no,,urban,1,15,female,unmarried,1211
1173,1211000104.0,4,no,6.0,no,,urban,1,14,female,unmarried,1211
1174,1211000104.0,5,yes,7.0,yes,,urban,1,12,female,unmarried,1211
1175,1211000104.0,6,no,2.0,no,,urban,1,9,male,unmarried,1211
1176,1211000104.0,7,yes,1.0,yes,,urban,1,5,male,unmarried,1211
1197,1211000110.0,1,no,,no,,urban,1,14,male,unmarried,1211
1199,1211000110.0,3,no,,no,,urban,1,9,female,unmarried,1211
1200,1211000110.0,4,yes,4.0,yes,,urban,1,7,female,unmarried,1211
1204,1211000111.0,3,no,5.0,no,,urban,1,11,male,unmarried,1211
1216,1211000201.0,3,no,2.0,no,,urban,1,7,male,unmarried,1211
1219,1211000202.0,3,no,,no,,urban,1,5,male,unmarried,1211
1224,1211000203.0,5,no,10.0,no,,urban,1,13,female,unmarried,1211
1230,1211000205.0,5,yes,9.0,yes,,urban,1,6,female,unmarried,1211
1234,1211000206.0,3,yes,5.0,yes,,urban,1,7,female,unmarried,1211
1250,1211000211.0,3,no,12.0,no,,urban,1,15,female,unmarried,1211
1251,1211000211.0,4,yes,10.0,yes,,urban,1,10,female,unmarried,1211
1252,1211000211.0,5,yes,7.0,yes,,urban,1,7,female,unmarried,1211
1255,1211000212.0,3,no,0.0,no,,urban,1,7,female,unmarried,1211
1256,1211000212.0,4,no,10.0,no,,urban,1,5,female,unmarried,1211
1264,1211000303.0,3,no,,no,,urban,1,8,female,unmarried,1211
1265,1211000303.0,4,no,4.0,no,10.0,urban,1,6,female,unmarried,1211
1272,1211000305.0,6,yes,,no,,urban,1,13,female,unmarried,1211
1273,1211000305.0,7,no,,no,,urban,1,10,female,unmarried,1211
1276,1211000306.0,3,yes,0.0,yes,,urban,1,11,male,unmarried,1211
1287,1211000309.0,6,no,2.0,no,10.0,urban,1,15,male,unmarried,1211
1290,1211000310.0,3,no,4.0,no,,urban,1,8,female,unmarried,1211
1291,1211000310.0,4,no,,no,,urban,1,6,male,unmarried,1211
1300,1211000312.0,3,no,4.0,no,10.0,urban,1,9,female,unmarried,1211
1301,1211000312.0,4,no,1.0,no,10.0,urban,1,8,female,unmarried,1211
1306,1211000401.0,5,yes,,yes,,urban,1,6,male,unmarried,1211
1348,1211000501.0,8,yes,10.0,yes,,urban,1,15,male,unmarried,1211
1349,1211000501.0,9,yes,6.0,yes,,urban,1,13,male,unmarried,1211
1352,1211000502.0,3,no,0.0,no,,urban,1,10,male,unmarried,1211
1353,1211000502.0,4,yes,0.0,no,,urban,1,8,male,unmarried,1211
1358,1211000504.0,3,no,6.0,no,,urban,1,7,male,unmarried,1211
1359,1211000504.0,4,no,,no,,urban,1,5,male,unmarried,1211
1368,1211000506.0,3,yes,,yes,,urban,1,15,female,unmarried,1211
1369,1211000506.0,4,yes,3.0,yes,,urban,1,14,male,unmarried,1211
1378,1211000509.0,3,yes,,yes,,urban,1,13,female,unmarried,1211
1379,1211000509.0,4,yes,,yes,,urban,1,10,female,unmarried,1211
1380,1211000509.0,5,no,,no,,urban,1,9,female,unmarried,1211
1389,1211000511.0,6,yes,0.0,yes,,urban,1,12,male,unmarried,1211
1391,1211000511.0,8,yes,8.0,yes,,urban,1,11,female,unmarried,1211
1414,1211000605.0,3,no,4.0,no,,urban,1,13,male,unmarried,1211
1423,1211000608.0,3,no,9.0,no,,urban,1,9,male,unmarried,1211
1424,1211000608.0,4,no,,no,,urban,1,7,male,unmarried,1211
1427,1211000609.0,3,no,,no,,urban,1,6,female,unmarried,1211
1453,1211000703.0,4,no,,no,,urban,1,14,female,unmarried,1211
1454,1211000703.0,5,no,,no,,urban,1,12,female,unmarried,1211
1455,1211000703.0,6,no,,no,,urban,1,9,female,unmarried,1211
1474,1211000708.0,5,no,,no,,urban,1,15,male,unmarried,1211
1475,1211000708.0,6,yes,,yes,,urban,1,12,female,unmarried,1211
1491,1211000801.0,7,yes,0.0,yes,,urban,1,15,female,unmarried,1211
1494,1211000802.0,3,yes,,no,2.0,urban,1,9,female,unmarried,1211
1509,1211000805.0,5,yes,0.0,yes,,urban,1,8,female,unmarried,1211
1512,1211000806.0,3,no,3.0,no,,urban,1,11,female,unmarried,1211
1517,1211000807.0,5,no,9.0,no,,urban,1,11,female,unmarried,1211
1524,1211000809.0,3,no,,no,,urban,1,5,male,unmarried,1211
1529,1211000810.0,5,no,4.0,no,,urban,1,12,male,unmarried,1211
1537,1211000901.0,5,yes,3.0,yes,,urban,1,13,male,unmarried,1211
1538,1211000901.0,6,yes,,yes,,urban,1,11,male,unmarried,1211
1539,1211000901.0,7,no,,no,,urban,1,9,male,unmarried,1211
1540,1211000901.0,8,no,,no,,urban,1,7,female,unmarried,1211
1555,1211000905.0,3,yes,10.0,yes,,urban,1,15,female,unmarried,1211
1556,1211000905.0,4,yes,8.0,yes,,urban,1,12,male,unmarried,1211
1557,1211000905.0,5,yes,8.0,yes,,urban,1,10,female,unmarried,1211
