,sex,subprovince,region,sample_population,enrolled_total,rate_enrollment
0,male,Abbotabad,rural,78,72,0.9230769230769231
1,male,Abbotabad,urban,0,0,
2,male,Attock,rural,118,88,0.7457627118644068
3,male,Attock,urban,0,0,
4,male,Badin,rural,154,79,0.512987012987013
5,male,Badin,urban,0,0,
6,male,Bahawalnager,rural,130,77,0.5923076923076923
7,male,Bahawalnager,urban,0,0,
8,male,Bahawalpur,rural,145,81,0.5586206896551724
9,male,Bahawalpur,urban,267,193,0.7228464419475655
10,male,Bannu,rural,236,169,0.7161016949152542
11,male,Bannu,urban,141,110,0.7801418439716312
12,male,Batagram,rural,97,69,0.711340206185567
13,male,Batagram,urban,0,0,
14,male,Bhakar,rural,174,101,0.5804597701149425
15,male,Bhakar,urban,0,0,
16,male,Bonair,rural,122,91,0.7459016393442623
17,male,Bonair,urban,0,0,
18,male,Chakwal,rural,53,47,0.8867924528301887
19,male,Chakwal,urban,0,0,
20,male,Charsada,rural,93,57,0.6129032258064516
21,male,Charsada,urban,0,0,
22,male,Chitral,rural,97,66,0.6804123711340206
23,male,Chitral,urban,0,0,
24,male,D.G.Khan,rural,171,93,0.543859649122807
25,male,D.G.Khan,urban,110,79,0.7181818181818181
26,male,D.I.Khan,rural,254,113,0.4448818897637795
27,male,D.I.Khan,urban,157,91,0.5796178343949044
28,male,Dadu,rural,325,139,0.4276923076923077
29,male,Dadu,urban,0,0,
30,male,Faisalabad,rural,201,145,0.7213930348258707
31,male,Faisalabad,urban,362,285,0.787292817679558
32,male,Ghotki,rural,193,113,0.5854922279792746
33,male,Ghotki,urban,0,0,
34,male,Gujranwala,rural,134,97,0.7238805970149254
35,male,Gujranwala,urban,327,263,0.8042813455657493
36,male,Gujrat,rural,127,107,0.84251968503937
37,male,Gujrat,urban,0,0,
38,male,Haifzabad,rural,70,50,0.7142857142857143
39,male,Haifzabad,urban,0,0,
40,male,Hangu,rural,120,81,0.675
41,male,Hangu,urban,0,0,
42,male,Haripur,rural,47,41,0.8723404255319149
43,male,Haripur,urban,0,0,
44,male,Hyderabad,rural,159,86,0.5408805031446541
45,male,Hyderabad,urban,419,253,0.60381861575179
46,male,Hzara,rural,0,0,
47,male,Hzara,urban,135,125,0.9259259259259259
48,male,Islamabad,rural,127,112,0.8818897637795275
49,male,Islamabad,urban,114,95,0.8333333333333334
50,male,Jaccobabad,rural,313,94,0.3003194888178914
51,male,Jaccobabad,urban,0,0,
52,male,Jhang,rural,196,134,0.6836734693877551
53,male,Jhang,urban,0,0,
54,male,Jhelum,rural,78,67,0.8589743589743589
55,male,Jhelum,urban,0,0,
56,male,Kalat,rural,447,176,0.39373601789709173
57,male,Kalat,urban,207,120,0.5797101449275363
58,male,Karachi,rural,80,33,0.4125
59,male,Karachi,urban,655,488,0.7450381679389313
60,male,Karak,rural,125,99,0.792
61,male,Karak,urban,0,0,
62,male,Kasur,rural,154,105,0.6818181818181818
63,male,Kasur,urban,0,0,
64,male,Khairpur,rural,182,107,0.5879120879120879
65,male,Khairpur,urban,0,0,
66,male,Khanewal,rural,79,47,0.5949367088607594
67,male,Khanewal,urban,0,0,
68,male,Khushab,rural,76,61,0.8026315789473685
69,male,Khushab,urban,0,0,
70,male,Kohat,rural,91,70,0.7692307692307693
71,male,Kohat,urban,188,143,0.7606382978723404
72,male,Kohistan,rural,108,25,0.23148148148148148
73,male,Kohistan,urban,0,0,
74,male,Lahore,rural,80,51,0.6375
75,male,Lahore,urban,494,374,0.757085020242915
76,male,LakkiMarwat,rural,140,111,0.7928571428571428
77,male,LakkiMarwat,urban,0,0,
78,male,Larkana,rural,200,94,0.47
79,male,Larkana,urban,193,131,0.6787564766839378
80,male,Layya,rural,70,40,0.5714285714285714
81,male,Layya,urban,0,0,
82,male,Lodhran,rural,76,50,0.6578947368421053
83,male,Lodhran,urban,0,0,
84,male,LowerDir,rural,122,73,0.5983606557377049
85,male,LowerDir,urban,0,0,
86,male,Makran,rural,272,174,0.6397058823529411
87,male,Makran,urban,156,117,0.75
88,male,Malakand,rural,90,70,0.7777777777777778
89,male,Malakand,urban,140,103,0.7357142857142858
90,male,Mandi Bahuddin,rural,63,50,0.7936507936507936
91,male,Mandi Bahuddin,urban,0,0,
92,male,Manshera,rural,163,114,0.6993865030674846
93,male,Manshera,urban,0,0,
94,male,Mardan,rural,189,139,0.7354497354497355
95,male,Mardan,urban,205,139,0.6780487804878049
96,male,Mianwali,rural,71,55,0.7746478873239436
97,male,Mianwali,urban,0,0,
98,male,Mir Pur Khas,rural,257,109,0.42412451361867703
99,male,Mir Pur Khas,urban,178,112,0.6292134831460674
100,male,Multan,rural,142,83,0.5845070422535211
101,male,Multan,urban,337,253,0.7507418397626113
102,male,Muraffar Garh,rural,167,70,0.41916167664670656
103,male,Muraffar Garh,urban,0,0,
104,male,Narowal,rural,46,42,0.9130434782608695
105,male,Narowal,urban,0,0,
106,male,Nasirabad,rural,282,119,0.4219858156028369
107,male,Nasirabad,urban,168,88,0.5238095238095238
108,male,Nawabshah,rural,160,66,0.4125
109,male,Nawabshah,urban,0,0,
110,male,Nowshera,rural,75,53,0.7066666666666667
111,male,Nowshera,urban,0,0,
112,male,Nowshero Freoze,rural,192,121,0.6302083333333334
113,male,Nowshero Freoze,urban,0,0,
114,male,Okara,rural,138,75,0.5434782608695652
115,male,Okara,urban,0,0,
116,male,Pakpatten,rural,71,47,0.6619718309859155
117,male,Pakpatten,urban,0,0,
118,male,Peshawar,rural,175,111,0.6342857142857142
119,male,Peshawar,urban,433,312,0.7205542725173211
120,male,Quetta,rural,441,287,0.6507936507936508
