,sex,subprovince,region,sample_population,enrolled_total,rate_enrollment
0,male,Abbottabad,rural,341,293,0.8592375366568915
1,male,Abbottabad,urban,162,149,0.9197530864197531
2,male,Attock ,rural,341,280,0.8211143695014663
3,male,Attock ,urban,162,126,0.7777777777777778
4,male,Awaran,rural,334,257,0.7694610778443114
5,male,Awaran,urban,0,0,
6,male,Badin ,rural,878,421,0.479498861047836
7,male,Badin ,urban,210,123,0.5857142857142857
8,male,Bahawalnagar,rural,690,495,0.717391304347826
9,male,Bahawalnagar,urban,278,217,0.7805755395683454
10,male,Bahawalpur,rural,734,399,0.5435967302452316
11,male,Bahawalpur,urban,980,718,0.7326530612244898
12,male,Bannu ,rural,521,386,0.7408829174664108
13,male,Bannu ,urban,95,76,0.8
14,male,Barkhan,rural,311,82,0.26366559485530544
15,male,Barkhan,urban,0,0,
16,male,Barkhen,rural,0,0,
17,male,Barkhen,urban,27,19,0.7037037037037037
18,male,Batagram ,rural,616,462,0.75
19,male,Batagram ,urban,0,0,
20,male,Bhakhar ,rural,429,285,0.6643356643356644
21,male,Bhakhar ,urban,167,129,0.7724550898203593
22,male,Bolan/Kachhi,rural,0,0,
23,male,Bolan/Kachhi,urban,107,91,0.8504672897196262
24,male,Bolan/Kachni,rural,415,252,0.6072289156626506
25,male,Bolan/Kachni,urban,0,0,
26,male,Bonair ,rural,819,630,0.7692307692307693
27,male,Bonair ,urban,0,0,
28,male,Chaghi,rural,627,303,0.48325358851674644
29,male,Chaghi,urban,58,44,0.7586206896551724
30,male,Chakwal ,rural,309,274,0.8867313915857605
31,male,Chakwal ,urban,131,119,0.9083969465648855
32,male,Charsada,rural,492,380,0.7723577235772358
33,male,Charsada,urban,183,150,0.819672131147541
34,male,Chiniot,rural,329,224,0.6808510638297872
35,male,Chiniot,urban,184,135,0.7336956521739131
36,male,Chitral ,rural,544,429,0.7886029411764706
37,male,Chitral ,urban,78,65,0.8333333333333334
38,male,D.G.Khan ,rural,806,448,0.5558312655086849
39,male,D.G.Khan ,urban,266,209,0.7857142857142857
40,male,D.I.Khan ,rural,597,306,0.5125628140703518
41,male,D.I.Khan ,urban,143,107,0.7482517482517482
42,male,Dadu ,rural,919,631,0.6866158868335147
43,male,Dadu ,urban,169,141,0.834319526627219
44,male,Dera Bughti,rural,491,96,0.1955193482688391
45,male,Dera Bughti,urban,71,41,0.5774647887323944
46,male,Faisalabad ,rural,1024,774,0.755859375
47,male,Faisalabad ,urban,2078,1714,0.8248315688161694
48,male,Gawadar,rural,344,224,0.6511627906976745
49,male,Gawadar,urban,265,191,0.720754716981132
50,male,Ghotki ,rural,869,498,0.57307249712313
51,male,Ghotki ,urban,263,197,0.7490494296577946
52,male,Gujaranwala ,rural,0,0,
53,male,Gujaranwala ,urban,642,547,0.8520249221183801
54,male,Gujranwala ,rural,602,517,0.8588039867109635
55,male,Gujranwala ,urban,642,547,0.8520249221183801
56,male,Gujrat ,rural,446,363,0.8139013452914798
57,male,Gujrat ,urban,221,180,0.8144796380090498
58,male,Haifzabad ,rural,397,320,0.8060453400503779
59,male,Haifzabad ,urban,169,141,0.834319526627219
60,male,Hangu ,rural,584,453,0.7756849315068494
61,male,Hangu ,urban,131,104,0.7938931297709924
62,male,Haripur ,rural,315,265,0.8412698412698413
63,male,Haripur ,urban,159,146,0.9182389937106918
64,male,Harnai,rural,455,338,0.7428571428571429
65,male,Harnai,urban,0,0,
66,male,Hyderabad,rural,0,0,
67,male,Hyderabad,urban,536,401,0.7481343283582089
68,male,Hyderabad ,rural,379,205,0.5408970976253298
69,male,Hyderabad ,urban,536,401,0.7481343283582089
70,male,Islamabad,rural,185,169,0.9135135135135135
71,male,Islamabad,urban,231,198,0.8571428571428571
72,male,Jaccobabad ,rural,668,349,0.5224550898203593
73,male,Jaccobabad ,urban,216,144,0.6666666666666666
