,sex,subprovince,region,sample_population,enrolled_total,rate_enrollment
0,female,Abbotabad,rural,944,352,0.3728813559322034
1,female,Abbotabad,urban,0,0,
2,female,Attock ,rural,631,251,0.3977812995245642
3,female,Attock ,urban,0,0,
4,female,Badin ,rural,890,282,0.31685393258426964
5,female,Badin ,urban,0,0,
6,female,Bahawal Nagar ,rural,1040,287,0.2759615384615385
7,female,Bahawal Nagar ,urban,0,0,
8,female,Bahawalpur,rural,1110,240,0.21621621621621623
9,female,Bahawalpur,urban,742,335,0.45148247978436656
10,female,Bahawalpur ,rural,0,0,
11,female,Bahawalpur ,urban,560,259,0.4625
12,female,Bannu,rural,0,0,
13,female,Bannu,urban,667,287,0.4302848575712144
14,female,Bannu ,rural,1616,543,0.33601485148514854
15,female,Bannu ,urban,0,0,
16,female,Batagram ,rural,625,149,0.2384
17,female,Batagram ,urban,0,0,
18,female,Bhakar ,rural,1025,249,0.24292682926829268
19,female,Bhakar ,urban,0,0,
20,female,Bonair ,rural,1195,452,0.3782426778242678
21,female,Bonair ,urban,0,0,
22,female,Chakwal ,rural,276,121,0.4384057971014493
23,female,Chakwal ,urban,0,0,
24,female,Charsada,rural,877,223,0.2542759407069555
25,female,Charsada,urban,0,0,
26,female,Chitral ,rural,743,221,0.297442799461642
27,female,Chitral ,urban,0,0,
28,female,D.G.Khan ,rural,1269,344,0.2710795902285264
29,female,D.G.Khan ,urban,760,317,0.41710526315789476
30,female,D.I. Khan,rural,0,0,
31,female,D.I. Khan,urban,1001,370,0.3696303696303696
32,female,D.I.Khan ,rural,1425,180,0.12631578947368421
33,female,D.I.Khan ,urban,0,0,
34,female,Dadu ,rural,1869,399,0.21348314606741572
35,female,Dadu ,urban,0,0,
36,female,Faisalabad,rural,0,0,
37,female,Faisalabad,urban,1254,496,0.39553429027113235
38,female,Faisalabad ,rural,1325,544,0.41056603773584904
39,female,Faisalabad ,urban,1450,739,0.5096551724137931
40,female,Ghotki ,rural,1704,328,0.19248826291079812
41,female,Ghotki ,urban,0,0,
42,female,Gujaranwala ,rural,0,0,
43,female,Gujaranwala ,urban,1330,590,0.44360902255639095
44,female,Gujranwala,rural,0,0,
45,female,Gujranwala,urban,737,319,0.43283582089552236
46,female,Gujranwala ,rural,807,339,0.4200743494423792
47,female,Gujranwala ,urban,0,0,
48,female,Gujrat ,rural,791,329,0.415929203539823
49,female,Gujrat ,urban,0,0,
