stratum,Position I,Position II,Position III,Position IV,code
Ghanchi,7,10,1,0,71010
HunzaNager,7,10,1,0,71010
Biltistan,7,20,1,0,72010
Diamir,7,20,1,0,72010
Astore,7,20,1,0,72010
Muzaffarabad,8,10,1,0,81010
Neelum,8,10,1,0,81010
Hattian Bala,8,10,1,0,81010
Bagh,8,20,1,0,82010
Sudhnoti,8,20,1,0,82010
Rawalakot/ponch,8,20,1,0,82010
Haveli,8,20,1,0,82010
Bhimber,8,30,1,0,83010
Mirpur,8,30,1,0,83010
Kotli,8,30,1,0,83010
Chitral,1,10,2,0,11020
Upper Dir,1,10,2,0,11020
Lower Dir,1,10,2,0,11020
Swat,1,10,2,0,11020
Shangla,1,10,2,0,11020
Bonair,1,10,2,0,11020
Malakand,1,10,2,0,11020
Kohistan,1,20,2,0,12020
Manshera,1,20,2,0,12020
Batagram,1,20,2,0,12020
Abbottabad,1,20,2,0,12020
Haripur,1,20,2,0,12020
Tor Garh,1,20,2,0,12020
Mardan,1,30,2,0,13020
Swabi,1,30,2,0,13020
Charsada,1,40,2,0,14020
Peshawar,1,40,2,0,14020
Nowsehra,1,40,2,0,14020
Kohat,1,50,2,0,15020
Hangu,1,50,2,0,15020
Karak,1,50,2,0,15020
Bannu,1,60,2,0,16020
Lakki Marwat,1,60,2,0,16020
D. I. Khan,1,70,2,0,17020
Tank,1,70,2,0,17020
Attock,2,10,2,0,21020
Rawalpindi,2,10,2,0,21020
Jehlum,2,10,2,0,21020
Chakwal,2,10,2,0,21020
Sargodha,2,20,2,0,22020
Bhakhar,2,20,2,0,22020
Khushab,2,20,2,0,22020
Mianwali,2,20,2,0,22020
Faisalabad,2,30,2,0,23020
Chiniot,2,30,2,0,23020
Jhang,2,30,2,0,23020
T.T. Singh,2,30,2,0,23020
Gujranwala,2,40,2,0,24020
Hafizabad,2,40,2,0,24020
Gujrat,2,40,2,0,24020
Mandi Bahuddin,2,40,2,0,24020
Sialkot,2,40,2,0,24020
Narowal,2,40,2,0,24020
Lahore,2,50,2,0,25020
Kasur,2,50,2,0,25020
Sheikhupura,2,50,2,0,25020
Nankana Sahib,2,50,2,0,25020
Okara,2,60,2,0,26020
Sahiwal,2,60,2,0,26020
Pakpatten,2,60,2,0,26020
Vehari,2,70,2,0,27020
Multan,2,70,2,0,27020
Lodhran,2,70,2,0,27020
Khanewal,2,70,2,0,27020
D. G. Khan,2,80,2,0,28020
Rajanpur,2,80,2,0,28020
Layyah,2,80,2,0,28020
Muzaffar Garh,2,80,2,0,28020
Bahawalpur,2,90,2,0,29020
Bahawalnagar,2,90,2,0,29020
Rahim Yar Khan,2,90,2,0,29020
Jacobabad,3,10,2,0,31020
Kashmore,3,10,2,0,31020
Shikarpur,3,10,2,0,31020
Larkana,3,10,2,0,31020
Shahdadkot,3,10,2,0,31020
Sukkur,3,20,2,0,32020
Ghotki,3,20,2,0,32020
Khairpur,3,20,2,0,32020
Nowshero Feroze,3,20,2,0,32020
Nawabshah,3,20,2,0,32020
Dadu,3,30,2,0,33020
Jamshoro,3,30,2,0,33020
Hyderabad,3,30,2,0,33020
Tando Allah Yar,3,30,2,0,33020
Tando Muhammad Khan,3,30,2,0,33020
Matiari,3,30,2,0,33020
Badin,3,30,2,0,33020
Thatta,3,30,2,0,33020
Sanghar,3,40,2,0,34020
Mir Pur Khas,3,40,2,0,34020
Umer Kot,3,40,2,0,34020
Tharparkar,3,40,2,0,34020
Karachi West,3,51,2,0,35120
Karachi Malir,3,52,2,0,35220
Karachi South,3,53,2,0,35320
Karachi East,3,54,2,0,35420
Karachi Central,3,55,2,0,35520
Quetta,4,10,2,0,41020
Pishine,4,10,2,0,41020
Qilla Abdullah,4,10,2,0,41020
Chaghai,4,10,2,0,41020
Nushki,4,10,2,0,41020
Loralai,4,20,2,0,42020
Barkhan,4,20,2,0,42020
Musa Khel,4,20,2,0,42020
Qilla Saifullah,4,20,2,0,42020
Zhob,4,20,2,0,42020
Sherani,4,20,2,0,42020
Sibbi,4,30,2,0,43020
Harnai,4,30,2,0,43020
Ziarat,4,30,2,0,43020
Kohlu,4,30,2,0,43020
Dera Bugti,4,30,2,0,43020
Bolan/ Kachhi,4,40,2,0,44020
Jaffarabad,4,40,2,0,44020
Nasirabad/ Tamboo,4,40,2,0,44020
Jhal Magsi,4,40,2,0,44020
Kalat,4,50,2,0,45020
Mastung,4,50,2,0,45020
Khuzdar,4,50,2,0,45020
Awaran,4,50,2,0,45020
Kharan,4,50,2,0,45020
Washuk,4,50,2,0,45020
Lasbela,4,50,2,0,45020
Ketch/Turbat,4,60,2,0,46020
Gwader,4,60,2,0,46020
Panjgoor,4,60,2,0,46020
Gilgit,7,10,2,0,71020
Ghizer,7,10,2,0,71020
Ghanchi,7,10,2,0,71020
HunzaNager,7,10,2,0,71020
Biltistan,7,20,2,0,72020
Diamir,7,20,2,0,72020
Astore,7,20,2,0,72020
Muzaffarabad,8,10,2,0,81020
Neelum,8,10,2,0,81020
Hattian Bala,8,10,2,0,81020
Bagh,8,20,2,0,82020
Sudhnoti,8,20,2,0,82020
Rawalakot/ponch,8,20,2,0,82020
Haveli,8,20,2,0,82020
Bhimber,8,30,2,0,83020
Mirpur,8,30,2,0,83020
Kotli,8,30,2,0,83020
