,hhcode,age,idc,sex,marital_status,ever_admitted,currently_enrolled,region,subprovince code,province,subprovince,year
73,1011020207,14,3,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
74,1011020207,12,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
75,1011020209,5,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
76,1011020210,14,2,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
77,1011020210,11,3,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
78,1011020211,4,54,female,1,no,no,urban,1011,Punjab,Rawalpindi,2011
79,1011020212,10,4,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
80,1011020212,12,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
81,1011020212,7,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
82,1011020212,15,54,female,1,yes,no,urban,1011,Punjab,Rawalpindi,2011
83,1011020301,13,2,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
84,1011020304,4,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
85,1011020306,13,2,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
86,1011020306,10,3,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
87,1011020306,15,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
88,1011020306,14,54,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
89,1011020308,8,54,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
90,1011020308,6,55,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
91,1011020308,4,56,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
92,1011020309,10,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
93,1011020309,8,54,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
94,1011020309,7,55,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
95,1011020309,4,56,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
96,1011020310,15,5,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
97,1011020310,10,8,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
98,1011020310,6,53,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
99,1011020310,8,56,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
100,1011020310,5,57,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
101,1011020310,6,59,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
102,1011020310,5,60,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
103,1011020311,8,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
104,1011030102,8,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
105,1011030102,6,53,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
106,1011030104,4,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
107,1011030106,15,54,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
108,1011030109,14,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
109,1011030110,13,2,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
110,1011030110,10,3,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
111,1011030110,9,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
112,1011030110,7,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
113,1011030205,15,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
114,1011030206,4,54,female,1,no,no,urban,1011,Punjab,Rawalpindi,2011
115,1011030207,13,2,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
116,1011030207,13,3,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
117,1011030207,6,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
118,1011030208,11,3,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
119,1011030210,13,3,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
120,1011030211,9,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
121,1011030211,6,53,male,1,no,no,urban,1011,Punjab,Rawalpindi,2011
122,1011030212,13,2,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
123,1011030212,11,3,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
124,1011030212,6,54,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
125,1011030212,6,55,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
126,1011030301,13,55,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
127,1011030301,8,56,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
128,1011030302,13,2,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
129,1011030302,10,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
130,1011030302,8,53,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
131,1011030302,5,54,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
132,1011030304,14,2,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
133,1011030304,11,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
134,1011030305,13,3,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
135,1011030307,7,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
136,1011030308,15,54,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
137,1011030308,10,55,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
138,1011030308,7,56,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
139,1011030309,12,54,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
140,1011030309,9,55,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
141,1011030310,14,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
142,1011030310,9,54,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
143,1011030310,5,55,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
144,1011040101,9,54,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
145,1011040102,13,2,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
146,1011040102,11,3,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
147,1011040104,10,2,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
148,1011040104,8,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
149,1011040104,5,53,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
150,1011040108,14,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
151,1011040108,10,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
152,1011040110,15,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
153,1011040110,9,53,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
154,1011040112,15,2,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
